relationship_id,traveler_id_1,traveler_id_2,relationship_type,verified
457,53741,124517,Child,0
458,101168,142091,Sibling,0
459,75766,44269,Spouse,1
460,131076,122457,Parent,1
461,144712,82259,Parent,1
462,25648,129761,Parent,1
463,61730,107836,Parent,0
464,138200,2302,Other,0
465,113668,19036,Other,1
466,27940,19549,Other,0
467,55819,9364,Spouse,1
468,136499,17076,Spouse,1
469,108832,43081,Child,1
470,139826,55782,Parent,1
471,116637,85187,Sibling,0
472,39247,93149,Child,1
473,51549,82697,Other,1
474,102066,91384,Other,1
475,61988,79645,Spouse,0
476,38451,13388,Sibling,1
477,81063,33509,Grandparent,1
478,114363,130504,Sibling,1
479,29986,12284,Parent,1
480,109026,10696,Spouse,1
481,36303,5451,Spouse,1
482,83515,12132,Sibling,0
483,139270,101398,Other,0
484,133873,144875,Sibling,1
485,126917,89078,Parent,0
486,125010,64527,Sibling,0
487,135287,85287,Other,1
488,9974,118011,Child,1
489,71466,48174,Spouse,0
490,19515,130838,Sibling,1
491,99285,110067,Sibling,1
492,111742,87865,Sibling,1
493,38632,147955,Spouse,1
494,58124,111291,Sibling,0
495,98091,116193,Other,0
496,94135,91498,Parent,0
497,57095,115580,Child,1
498,76305,64122,Other,1
499,18235,5057,Sibling,0
500,145966,71195,Parent,1
501,110361,69793,Sibling,1
502,102140,86232,Parent,1
503,67417,123859,Parent,0
504,97487,125108,Sibling,1
505,102633,112188,Spouse,0
506,61231,115691,Other,0
507,1942,2788,Child,1
508,74594,94205,Parent,1
509,83852,70393,Other,1
510,58804,136435,Child,0
511,90124,42528,Spouse,1
512,48582,133034,Sibling,1
513,28367,89051,Spouse,1
514,62305,57005,Spouse,1
515,48412,48562,Sibling,1
516,24086,142319,Grandchild,1
517,85102,148469,Spouse,0
518,67050,74953,Spouse,0
519,130004,79616,Sibling,1
520,108971,142162,Parent,1
521,127165,19363,Child,1
522,95645,25681,Child,1
523,57173,106382,Sibling,0
524,75898,102361,Child,0
525,73631,18133,Child,1
526,140763,112134,Spouse,1
527,46003,88653,Parent,0
528,14103,144582,Spouse,1
529,22257,41895,Child,0
530,37463,97241,Child,0
531,56697,99902,Spouse,1
532,90290,74453,Other,1
533,18498,43793,Child,1
534,102496,31419,Child,1
535,59425,89691,Parent,1
536,142534,43703,Child,1
537,101871,60761,Parent,1
538,131283,33219,Sibling,1
539,32321,39927,Child,1
540,51579,1988,Spouse,0
541,66075,52954,Sibling,1
542,131823,144093,Sibling,0
543,87312,68226,Spouse,1
544,126068,5914,Spouse,1
545,126539,126373,Spouse,1
546,118211,110492,Grandchild,1
547,22309,138561,Parent,1
548,95143,137739,Sibling,1
549,81176,33138,Child,1
550,21146,5783,Child,0
551,73487,30715,Child,1
552,65324,85659,Sibling,1
553,95370,112143,Other,1
554,9360,86995,Sibling,1
555,98262,10976,Child,1
556,8866,30671,Parent,0
557,97067,55210,Parent,1
558,88878,113488,Sibling,1
559,29297,56635,Sibling,1
560,37619,109293,Other,1
561,97139,111912,Spouse,0
562,65589,14548,Sibling,1
563,112690,32157,Sibling,1
564,77625,91120,Parent,1
565,96434,119934,Sibling,1
566,50556,29365,Child,0
567,55728,49431,Other,0
568,87942,87152,Other,1
569,105982,20400,Other,1
570,35758,104287,Child,1
571,129817,74653,Spouse,0
572,34543,65839,Spouse,1
573,116086,95115,Spouse,0
574,49871,79779,Sibling,0
575,27797,54737,Spouse,1
576,51105,86196,Child,1
577,123675,111444,Sibling,1
578,88801,39987,Child,0
579,102391,135457,Sibling,0
580,119049,117963,Child,1
581,74695,109887,Sibling,1
582,129750,69318,Sibling,1
583,125948,114085,Spouse,1
584,93824,22111,Spouse,1
585,115929,14596,Spouse,0
586,108129,124896,Child,1
587,117216,41833,Sibling,1
588,57641,32277,Spouse,1
589,9775,45358,Parent,1
590,77268,116956,Other,1
591,50360,46591,Sibling,0
592,148128,61863,Parent,0
593,81675,129902,Spouse,1
594,61117,30113,Child,0
595,18365,55252,Other,0
596,39392,143835,Spouse,1
597,14088,46833,Spouse,1
598,113949,135101,Parent,0
599,104121,38740,Sibling,0
600,18171,27479,Parent,0
601,12347,40280,Other,1
602,140192,137108,Other,1
603,132026,99752,Child,0
604,69480,103549,Spouse,1
605,112903,32788,Child,1
606,145914,106399,Child,1
607,74895,16388,Child,0
608,81711,117526,Child,1
609,44124,60853,Parent,1
610,80228,21188,Spouse,0
611,126028,133308,Child,0
612,144187,16996,Sibling,0
613,93599,123621,Sibling,0
614,9733,11209,Spouse,1
615,53663,137866,Sibling,1
616,137116,122805,Other,1
617,99980,118187,Parent,0
618,123426,13400,Other,1
619,93755,22019,Child,0
620,146083,45662,Parent,1
621,95930,113540,Spouse,0
622,75708,69792,Child,1
623,86272,29026,Spouse,1
624,139539,60066,Child,0
625,11965,121905,Sibling,1
626,66532,68896,Other,1
627,21849,102498,Sibling,1
628,88496,119077,Parent,0
629,39366,65992,Other,0
630,136777,35666,Sibling,1
631,143483,54920,Other,1
632,47620,41570,Spouse,1
633,72531,49254,Spouse,1
634,26377,109926,Child,1
635,68602,90819,Sibling,1
636,11926,8802,Spouse,0
637,146589,137647,Parent,1
638,82538,84786,Parent,1
639,62325,149683,Spouse,1
640,1930,125246,Sibling,1
641,64278,97212,Child,1
642,147788,21652,Sibling,1
643,80484,36031,Sibling,1
644,88036,99507,Parent,1
645,10105,79057,Sibling,1
646,28771,16032,Parent,1
647,94215,86958,Spouse,0
648,132604,27450,Sibling,1
649,148331,88936,Spouse,0
650,75733,71884,Sibling,1
651,133268,68828,Spouse,1
652,147778,2851,Spouse,1
653,148411,122832,Child,1
654,115399,48164,Parent,0
655,109903,47927,Other,1
656,83556,63540,Parent,1
657,21492,72869,Spouse,1
658,86938,124487,Parent,1
659,75388,123322,Spouse,1
660,36334,30013,Parent,1
661,80099,32031,Sibling,0
662,101677,106318,Parent,0
663,31690,143540,Child,0
664,61974,108162,Spouse,0
665,76764,134963,Sibling,0
666,8933,148303,Grandparent,0
667,15492,61933,Spouse,1
668,21770,85313,Spouse,1
669,35127,108447,Parent,1
670,4189,49950,Parent,0
671,119791,26710,Grandchild,0
672,73374,33086,Grandchild,1
673,4050,49498,Other,1
674,24694,124475,Sibling,1
675,89005,5184,Child,1
676,71239,3571,Child,1
677,123384,139291,Child,1
678,47436,63224,Parent,1
679,16111,146942,Child,0
680,118771,74299,Spouse,1
681,27829,136115,Other,1
682,119870,34002,Parent,0
683,139481,118412,Sibling,0
684,124283,68718,Child,0
685,3510,50496,Spouse,1
686,15480,111367,Sibling,1
687,33772,139690,Child,0
688,97128,140649,Spouse,1
689,149016,95566,Spouse,1
690,86226,65831,Spouse,1
691,40770,139130,Spouse,0
692,60681,30941,Spouse,1
693,99429,148422,Sibling,0
694,123288,136703,Parent,0
695,141567,71702,Spouse,0
696,59253,68378,Sibling,1
697,45785,118934,Spouse,0
698,82870,17160,Grandchild,1
699,145515,112221,Child,1
700,142536,73119,Spouse,0
701,106418,72772,Parent,1
702,851,25347,Other,1
703,80894,79754,Parent,1
704,14719,8424,Other,1
705,118998,83772,Spouse,0
706,16353,4275,Other,1
707,46012,72479,Child,1
708,41765,56376,Sibling,1
709,25441,21312,Parent,1
710,65258,123498,Spouse,0
711,87279,84116,Sibling,1
712,130525,35911,Other,1
713,124687,41749,Parent,1
714,126657,95996,Parent,1
715,18823,61144,Grandparent,0
716,110258,90731,Spouse,1
717,23860,9922,Parent,0
718,122494,125027,Spouse,1
719,52579,119371,Child,0
720,84994,135368,Parent,1
721,92213,32779,Spouse,1
722,20523,121514,Sibling,1
723,60126,109335,Spouse,1
724,39666,115336,Parent,1
725,38422,35034,Parent,1
726,124461,41152,Spouse,1
727,73456,137343,Parent,1
728,86388,50362,Child,1
729,18052,128562,Sibling,1
730,120411,62555,Sibling,0
731,52211,77029,Spouse,1
732,94998,141761,Parent,1
733,54697,33714,Sibling,0
734,103610,38256,Parent,0
735,41092,50895,Child,1
736,48770,102666,Spouse,1
737,78741,124244,Child,1
738,40863,13364,Other,1
739,44437,33048,Sibling,1
740,131107,130382,Sibling,0
741,36672,140012,Sibling,1
742,53092,125285,Spouse,1
743,134236,106020,Sibling,0
744,96279,106400,Spouse,1
745,34661,133518,Sibling,1
746,127908,134609,Grandparent,1
747,48229,18486,Spouse,1
748,120539,20473,Child,1
749,136216,103080,Parent,1
750,125539,91602,Other,1
751,108317,11037,Other,0
752,27630,137594,Spouse,0
753,3948,113201,Spouse,0
754,68098,30870,Other,0
755,127165,134034,Spouse,0
756,133948,52755,Sibling,1
757,72401,135896,Spouse,1
758,60781,4948,Parent,1
759,149726,5027,Sibling,1
760,67779,11309,Other,1
761,58809,144101,Parent,0
762,65420,13655,Sibling,1
763,23024,122034,Parent,1
764,140887,76931,Grandchild,0
765,26507,84252,Parent,0
766,23496,81983,Child,0
767,85312,11098,Child,0
768,78427,130525,Sibling,1
769,37696,86578,Spouse,0
770,25579,47516,Spouse,1
771,16123,90592,Sibling,1
772,84182,47566,Sibling,1
773,75754,78218,Spouse,1
774,1407,36870,Spouse,1
775,118684,60293,Parent,0
776,109333,122221,Spouse,1
777,92864,24838,Child,1
778,81096,22577,Parent,1
779,109160,31287,Spouse,0
780,118863,61032,Child,1
781,99997,26337,Spouse,1
782,47324,128293,Spouse,0
783,126688,146922,Spouse,1
784,26300,94683,Sibling,0
785,96431,125391,Child,1
786,55194,126648,Spouse,1
787,58518,122002,Sibling,1
788,103315,42260,Sibling,1
789,146998,134997,Child,1
790,80713,107288,Child,1
791,43488,95390,Parent,1
792,2909,80887,Sibling,1
793,142999,60758,Sibling,1
794,10512,144358,Other,1
795,58138,10419,Other,1
796,135486,108020,Child,1
797,66226,26328,Sibling,1
798,72974,49621,Child,0
799,136330,41929,Parent,0
800,26446,30628,Spouse,1
801,56892,20242,Parent,1
802,63280,86867,Parent,1
803,3498,2215,Spouse,1
804,56093,47241,Sibling,0
805,121587,86024,Child,1
806,126382,24364,Sibling,1
807,66576,65438,Parent,1
808,5206,49060,Parent,1
809,93708,97086,Spouse,1
810,89062,40341,Spouse,0
811,132850,149824,Child,0
812,74664,135568,Spouse,0
813,30434,117755,Spouse,1
814,120772,142263,Spouse,1
815,131548,53888,Other,1
816,61282,115942,Sibling,1
817,105048,2395,Sibling,0
818,98398,37681,Other,1
819,45698,62184,Parent,1
820,11972,108130,Spouse,0
821,122384,120721,Other,0
822,50316,134599,Parent,1
823,7791,84646,Spouse,0
824,95152,44069,Spouse,1
825,11937,124505,Spouse,1
826,55031,6138,Sibling,1
827,115070,70203,Parent,1
828,11706,103656,Spouse,1
829,58307,109118,Spouse,0
830,81346,77826,Other,1
831,110065,7893,Child,1
832,9993,93406,Child,1
833,85905,114327,Child,1
834,56173,36314,Parent,1
835,64996,32548,Parent,1
836,36750,62425,Spouse,1
837,62991,97,Child,0
838,22987,85295,Sibling,1
839,68279,72410,Parent,0
840,142027,64401,Sibling,1
841,22551,140294,Sibling,0
842,99653,140018,Parent,1
843,1464,95920,Spouse,1
844,118789,138935,Spouse,1
845,7148,75771,Other,1
846,54812,143188,Parent,0
847,9969,98059,Sibling,1
848,9849,78282,Other,1
849,118466,104832,Other,1
850,734,44648,Parent,1
851,76672,59625,Child,0
852,140376,81891,Spouse,0
853,75885,117894,Child,1
854,128041,91777,Other,1
855,5254,37229,Spouse,1
856,96953,132550,Parent,0
857,4548,123474,Parent,0
858,1329,86432,Sibling,1
859,76528,15542,Sibling,0
860,76765,82675,Spouse,1
861,122714,82750,Sibling,1
862,64915,24392,Spouse,1
863,138068,72989,Child,0
864,122561,75972,Spouse,1
865,134049,99146,Spouse,1
866,78581,20052,Parent,1
867,103551,114227,Sibling,1
868,72047,122459,Spouse,0
869,146671,92624,Spouse,0
870,42324,130896,Sibling,0
871,89355,128805,Other,1
872,28135,118397,Parent,0
873,148617,73020,Spouse,1
874,116472,49713,Spouse,0
875,116061,105527,Sibling,1
876,125887,28845,Child,1
877,66775,128611,Sibling,1
878,112690,135861,Spouse,0
879,147817,15413,Spouse,0
880,64003,117091,Spouse,0
881,60404,102112,Spouse,0
882,116413,46846,Spouse,0
883,50465,49259,Other,1
884,105660,147731,Spouse,0
885,16899,63734,Spouse,0
886,143354,38482,Parent,1
887,73278,81573,Other,0
888,101330,8362,Other,0
889,55835,75149,Spouse,0
890,73439,53369,Sibling,0
891,127180,133968,Grandchild,1
892,125752,121441,Spouse,1
893,101829,118422,Spouse,1
894,94844,64320,Spouse,0
895,86381,98093,Sibling,1
896,125063,50854,Spouse,1
897,120724,22234,Sibling,1
898,65333,108150,Spouse,1
899,132692,27828,Sibling,1
900,75797,64861,Grandparent,0
901,25024,114670,Child,0
902,71378,9250,Spouse,1
903,34116,40925,Spouse,1
904,96163,71661,Parent,1
905,28283,125033,Grandparent,1
906,115344,3721,Spouse,0
907,75606,69338,Spouse,0
908,66488,108786,Grandparent,1
909,29737,142951,Parent,1
910,112372,147894,Child,1
911,18518,5121,Spouse,1
912,13749,53114,Child,1
913,113979,127290,Parent,1
914,114038,25899,Child,0
915,109619,9613,Child,1
916,104914,98166,Child,1
917,30650,131717,Child,1
918,92371,15864,Spouse,1
919,128246,5086,Child,1
920,8777,68594,Child,1
921,2366,143174,Spouse,1
922,77140,53259,Child,0
923,124982,123411,Spouse,1
924,143590,43694,Parent,1
925,53995,55917,Other,0
926,51062,52510,Spouse,1
927,36324,9440,Sibling,0
928,119445,127350,Spouse,0
929,62042,110840,Child,1
930,23019,126617,Spouse,1
931,73542,7638,Sibling,0
932,143751,81423,Parent,1
933,35485,59158,Spouse,1
934,73637,1940,Sibling,0
935,14623,18000,Other,1
936,62017,32222,Spouse,1
937,223,55985,Sibling,1
938,66706,128108,Spouse,1
939,51244,50947,Spouse,1
940,20790,24010,Spouse,0
941,86954,109,Spouse,1
942,54563,91971,Sibling,1
943,92377,132004,Child,1
944,73888,29679,Spouse,0
945,63834,31203,Parent,1
946,82314,149250,Other,0
947,74396,4177,Child,1
948,99323,143178,Child,1
949,109261,44032,Spouse,1
950,107992,37681,Parent,1
951,4945,73111,Parent,1
952,20382,131667,Sibling,1
953,76832,83912,Spouse,1
954,27360,123348,Other,1
955,53114,31375,Other,1
956,121491,77109,Sibling,1
957,45983,83136,Sibling,1
958,64422,80808,Sibling,1
959,25019,66351,Sibling,1
960,41819,8264,Sibling,1
961,61639,133988,Spouse,1
962,39524,11014,Grandparent,1
963,30986,134093,Spouse,1
964,59039,108523,Sibling,1
965,50924,61860,Spouse,0
966,103308,22689,Child,1
967,40876,86850,Sibling,1
968,93294,144237,Child,1
969,108238,50979,Child,1
970,93163,118105,Parent,0
971,115178,112797,Child,1
972,4783,39220,Child,0
973,114794,14875,Sibling,1
974,93926,76126,Sibling,0
