link_id,network_id,traveler_id,role,confidence_level,identified_date,is_active
128,MIX-0022,53467,Recruiter,High,2025-11-26,1
129,MIX-0022,32554,Unknown,Low,2025-12-23,1
130,MIX-0022,10704,Document Forger,High,2025-12-22,1
131,MIX-0022,106706,Lookout,High,2025-12-01,1
132,MIX-0022,146340,Recruiter,Medium,2025-12-03,1
133,DRG-0023,64862,Organizer,High,2025-11-23,0
134,DRG-0023,132343,Transporter,Medium,2025-12-05,0
135,DRG-0023,30397,Lookout,Low,2025-11-20,0
136,DRG-0023,62881,Transporter,High,2025-12-08,0
137,DRG-0023,124902,Transporter,Low,2025-12-01,0
138,DRG-0023,48319,Transporter,Low,2025-11-25,0
139,MIX-0024,117855,Organizer,Medium,2025-11-11,1
140,MIX-0024,1145,Transporter,Confirmed,2025-10-29,1
141,MIX-0024,70927,Transporter,High,2025-10-17,1
142,MIX-0024,2393,Recruiter,High,2025-11-03,1
143,MIX-0024,23390,Lookout,Medium,2025-11-12,1
144,MIX-0024,109270,Transporter,High,2025-11-13,1
145,MIX-0024,82148,Coordinator,Medium,2025-10-21,1
146,MIX-0024,27784,Financier,Confirmed,2025-10-17,1
147,DRG-0025,124997,Organizer,Confirmed,2025-08-23,1
148,DRG-0025,96116,Recruiter,Medium,2025-09-05,1
149,DRG-0025,73507,Transporter,Medium,2025-09-05,1
150,DRG-0025,53372,Recruiter,High,2025-08-19,1
151,DRG-0025,99213,Recruiter,Low,2025-08-22,1
152,DRG-0025,89018,Transporter,High,2025-09-09,1
153,DRG-0025,5760,Lookout,Medium,2025-09-11,1
154,MIX-0026,37433,Organizer,Confirmed,2025-01-23,1
155,MIX-0026,28535,Unknown,High,2025-01-19,1
156,MIX-0026,41368,Document Forger,Medium,2025-01-07,1
157,MIX-0026,107318,Financier,High,2025-01-05,1
158,MIX-0026,115045,Coordinator,Confirmed,2025-01-27,1
159,MIX-0026,11713,Financier,Medium,2025-01-30,1
160,MIX-0026,77698,Transporter,Low,2025-01-13,1
161,MIX-0026,137482,Lookout,Medium,2025-01-18,1
162,MIX-0026,68530,Financier,High,2025-01-20,1
163,MIX-0026,109791,Coordinator,Medium,2025-01-16,1
164,MIX-0027,114866,Organizer,Medium,2025-11-30,1
165,MIX-0027,91034,Transporter,High,2025-12-28,1
166,MIX-0027,84436,Organizer,High,2025-12-25,1
167,MIX-0027,29532,Document Forger,Low,2025-12-28,1
168,DOC-0028,17112,Organizer,High,2025-07-16,1
169,DOC-0028,68268,Recruiter,Medium,2025-08-06,1
170,DOC-0028,96646,Lookout,Confirmed,2025-08-12,1
171,DOC-0028,62558,Transporter,Medium,2025-07-16,1
172,DOC-0028,72911,Transporter,Medium,2025-08-03,1
173,DRG-0029,55534,Organizer,High,2025-07-12,1
174,DRG-0029,9962,Recruiter,Low,2025-07-10,1
175,DRG-0029,390,Recruiter,Low,2025-07-11,1
176,DRG-0029,38834,Financier,Medium,2025-06-22,1
177,DRG-0029,48489,Recruiter,High,2025-06-22,1
178,DRG-0029,146728,Document Forger,High,2025-07-01,1
179,DRG-0029,55598,Lookout,Low,2025-06-20,1
180,DRG-0029,41318,Recruiter,Medium,2025-07-02,1
181,MIX-0030,13589,Organizer,Confirmed,2025-06-13,1
182,MIX-0030,62341,Financier,Low,2025-06-04,1
183,MIX-0030,66208,Unknown,High,2025-06-13,1
184,MIX-0030,76648,Recruiter,Low,2025-05-29,1
185,MIX-0030,112191,Document Forger,Confirmed,2025-06-14,1
186,MIX-0030,98188,Recruiter,High,2025-06-10,1
187,SMG-0031,132478,Organizer,High,2025-12-21,1
188,SMG-0031,73732,Document Forger,Low,2025-12-31,1
189,SMG-0031,132433,Recruiter,High,2025-12-28,1
190,SMG-0031,63810,Transporter,Low,2025-12-28,1
191,SMG-0031,14363,Organizer,Medium,2025-12-26,1
192,SMG-0031,84801,Unknown,Confirmed,2025-12-28,1
193,SMG-0031,8099,Recruiter,High,2025-12-28,1
194,SMG-0031,147094,Lookout,Medium,2025-12-28,1
195,SMG-0031,118706,Recruiter,Medium,2025-12-28,1
196,SMG-0031,145594,Financier,High,2025-12-28,1
197,TRF-0032,76999,Organizer,High,2025-04-07,0
198,TRF-0032,136766,Recruiter,Low,2025-05-02,0
199,TRF-0032,443,Unknown,Low,2025-04-19,0
200,TRF-0032,77150,Recruiter,Low,2025-04-16,0
201,TRF-0032,125568,Lookout,Low,2025-04-16,0
202,TRF-0032,33275,Recruiter,Medium,2025-05-01,0
203,TRF-0032,133605,Financier,Low,2025-04-05,0
204,TRF-0032,139257,Transporter,Confirmed,2025-04-24,0
205,TRF-0033,88306,Organizer,High,2025-09-17,1
206,TRF-0033,146004,Recruiter,Confirmed,2025-09-24,1
207,TRF-0033,112900,Unknown,High,2025-09-03,1
208,TRF-0033,116645,Transporter,High,2025-08-28,1
209,TRF-0033,83886,Coordinator,Medium,2025-08-29,1
210,TRF-0033,64891,Recruiter,Low,2025-09-20,1
211,TRF-0033,109662,Financier,Confirmed,2025-09-14,1
212,TRF-0034,40412,Organizer,Medium,2025-12-02,1
213,TRF-0034,65665,Lookout,High,2025-12-01,1
214,TRF-0034,103372,Recruiter,High,2025-11-24,1
215,TRF-0034,26584,Transporter,High,2025-12-14,1
216,TRF-0034,8541,Recruiter,Confirmed,2025-11-24,1
217,TRF-0034,7341,Transporter,High,2025-11-29,1
218,TRF-0034,27533,Financier,Low,2025-11-19,1
219,TRF-0034,87076,Transporter,Medium,2025-11-29,1
220,TRF-0035,131936,Organizer,Low,2025-07-03,0
221,TRF-0035,37107,Transporter,High,2025-07-23,0
222,TRF-0035,46731,Lookout,High,2025-07-02,0
223,TRF-0035,136484,Organizer,Medium,2025-07-11,0
224,TRF-0035,461,Recruiter,High,2025-07-18,0
225,TRF-0035,95141,Transporter,High,2025-07-24,0
226,MIX-0036,86116,Organizer,Confirmed,2025-04-15,1
227,MIX-0036,134647,Lookout,High,2025-04-05,1
228,MIX-0036,82093,Organizer,Medium,2025-04-08,1
229,MIX-0036,27143,Transporter,Confirmed,2025-03-24,1
230,MIX-0036,10325,Document Forger,High,2025-04-01,1
231,MIX-0036,23502,Financier,High,2025-04-16,1
232,MIX-0036,59859,Document Forger,Confirmed,2025-04-17,1
233,DOC-0037,43056,Organizer,High,2025-10-05,0
234,DOC-0037,19026,Transporter,Medium,2025-10-06,0
235,DOC-0037,111379,Document Forger,Medium,2025-10-19,0
236,DOC-0037,102579,Transporter,Confirmed,2025-10-09,0
237,DOC-0037,38869,Organizer,Medium,2025-10-06,0
238,DOC-0037,85537,Lookout,Medium,2025-09-27,0
239,SMG-0038,73147,Organizer,Medium,2025-11-25,1
240,SMG-0038,98007,Transporter,Low,2025-11-25,1
241,SMG-0038,24513,Lookout,Confirmed,2025-12-14,1
242,SMG-0038,48809,Financier,Low,2025-12-09,1
243,SMG-0038,55693,Recruiter,Medium,2025-11-21,1
244,SMG-0039,56000,Organizer,Confirmed,2025-05-20,1
245,SMG-0039,82234,Organizer,Medium,2025-06-01,1
246,SMG-0039,69180,Recruiter,Medium,2025-06-02,1
247,SMG-0039,141145,Transporter,High,2025-05-11,1
248,SMG-0039,36914,Coordinator,Medium,2025-05-11,1
249,SMG-0039,55227,Transporter,High,2025-05-17,1
250,SMG-0039,71318,Transporter,High,2025-06-01,1
251,SMG-0039,14534,Lookout,High,2025-05-25,1
252,SMG-0039,144556,Unknown,Confirmed,2025-05-25,1
253,SMG-0039,66295,Coordinator,Medium,2025-06-06,1
254,SMG-0039,95694,Organizer,Confirmed,2025-05-24,1
255,SMG-0039,71074,Transporter,Confirmed,2025-05-22,1
256,MIX-0040,48678,Organizer,High,2025-12-22,0
257,MIX-0040,127205,Unknown,Medium,2025-12-06,0
258,MIX-0040,110536,Document Forger,Confirmed,2025-12-14,0
259,MIX-0040,17743,Transporter,High,2025-12-18,0
260,MIX-0040,27332,Financier,Medium,2025-11-30,0
261,MIX-0040,94063,Financier,Low,2025-12-16,0
262,MIX-0040,78555,Unknown,High,2025-11-28,0
263,MIX-0041,18602,Organizer,Confirmed,2025-03-24,0
264,MIX-0041,34397,Organizer,Low,2025-03-17,0
265,MIX-0041,138266,Recruiter,High,2025-02-27,0
266,MIX-0041,39680,Coordinator,Medium,2025-03-19,0
267,MIX-0041,126936,Lookout,Medium,2025-03-22,0
268,MIX-0041,2136,Lookout,High,2025-03-15,0
269,MIX-0041,44067,Recruiter,High,2025-03-04,0
270,MIX-0041,56143,Coordinator,Medium,2025-03-23,0
271,TRF-0042,77738,Organizer,Confirmed,2025-04-03,1
272,TRF-0042,37628,Lookout,High,2025-04-12,1
273,TRF-0042,15895,Lookout,High,2025-04-17,1
274,TRF-0042,134891,Transporter,High,2025-04-20,1
275,DRG-0043,66706,Organizer,Low,2025-12-24,1
276,DRG-0043,125649,Transporter,High,2025-12-17,1
277,DRG-0043,5191,Transporter,Low,2025-12-28,1
278,DRG-0043,126671,Organizer,High,2025-12-28,1
279,DRG-0043,64042,Lookout,Low,2025-12-18,1
280,SMG-0044,93733,Organizer,Medium,2025-04-12,1
281,SMG-0044,15534,Unknown,Medium,2025-04-05,1
282,SMG-0044,59429,Coordinator,Medium,2025-04-15,1
283,SMG-0044,6277,Recruiter,High,2025-03-30,1
284,SMG-0044,144709,Recruiter,Medium,2025-03-27,1
285,DRG-0045,5444,Organizer,Medium,2025-07-18,1
286,DRG-0045,104103,Recruiter,High,2025-06-29,1
287,DRG-0045,55741,Transporter,High,2025-07-18,1
288,DRG-0045,35191,Recruiter,High,2025-06-28,1
289,DRG-0045,91831,Recruiter,High,2025-07-14,1
290,DRG-0045,117384,Recruiter,High,2025-07-20,1
291,DRG-0046,6410,Organizer,Low,2025-12-28,1
292,DRG-0046,132813,Organizer,Low,2025-12-31,1
293,DRG-0046,125942,Transporter,Confirmed,2025-12-28,1
294,DRG-0046,132381,Lookout,High,2025-12-28,1
295,DRG-0046,107661,Lookout,Confirmed,2025-12-28,1
296,DRG-0046,85334,Recruiter,Confirmed,2025-12-26,1
297,DRG-0046,126302,Lookout,Confirmed,2025-12-28,1
298,DRG-0046,147256,Lookout,Medium,2025-12-28,1
299,SMG-0047,107483,Organizer,Confirmed,2025-01-26,0
300,SMG-0047,145796,Financier,High,2025-02-04,0
301,SMG-0047,56244,Transporter,Medium,2025-01-19,0
302,SMG-0047,115394,Lookout,Confirmed,2025-01-19,0
303,SMG-0047,92283,Document Forger,Medium,2025-02-09,0
304,SMG-0047,120297,Transporter,Confirmed,2025-01-28,0
305,MIX-0048,67179,Organizer,Low,2025-12-28,1
306,MIX-0048,49545,Coordinator,High,2025-12-28,1
307,MIX-0048,124324,Recruiter,High,2025-12-28,1
308,MIX-0048,71381,Organizer,High,2025-12-28,1
309,SMG-0049,27679,Organizer,Medium,2025-08-10,0
310,SMG-0049,57785,Transporter,Medium,2025-08-05,0
311,SMG-0049,32158,Document Forger,Medium,2025-07-22,0
312,SMG-0049,4900,Transporter,High,2025-07-31,0
313,SMG-0049,7681,Lookout,Medium,2025-07-21,0
314,SMG-0049,9985,Document Forger,High,2025-08-09,0
315,SMG-0049,46158,Organizer,Medium,2025-08-05,0
316,SMG-0050,143312,Organizer,Medium,2025-11-20,1
317,SMG-0050,8204,Transporter,High,2025-11-13,1
318,SMG-0050,30880,Coordinator,Confirmed,2025-11-29,1
319,SMG-0050,141749,Lookout,Confirmed,2025-11-19,1
320,SMG-0050,93255,Lookout,High,2025-11-22,1
321,SMG-0050,63868,Transporter,High,2025-11-17,1
322,SMG-0050,135910,Transporter,Medium,2025-11-29,1
323,TRF-0051,126576,Organizer,Confirmed,2025-12-24,1
324,TRF-0051,12614,Transporter,High,2025-12-28,1
325,TRF-0051,27732,Document Forger,Medium,2025-12-27,1
326,TRF-0051,131503,Document Forger,High,2025-12-28,1
327,TRF-0051,84886,Recruiter,Medium,2025-12-28,1
328,SMG-0052,72901,Organizer,Low,2025-04-13,0
329,SMG-0052,12093,Recruiter,Medium,2025-04-21,0
330,SMG-0052,137338,Document Forger,Confirmed,2025-05-01,0
331,SMG-0053,32846,Organizer,High,2025-10-24,1
332,SMG-0053,10267,Transporter,Medium,2025-11-20,1
333,SMG-0053,50339,Document Forger,Medium,2025-11-01,1
334,SMG-0053,17619,Unknown,Medium,2025-11-12,1
335,MIX-0054,117947,Organizer,Confirmed,2025-04-09,1
336,MIX-0054,35968,Transporter,Low,2025-03-17,1
337,MIX-0054,146531,Financier,High,2025-03-20,1
338,MIX-0054,80648,Financier,Low,2025-04-01,1
339,MIX-0054,38234,Lookout,High,2025-03-31,1
340,MIX-0054,81905,Transporter,High,2025-04-03,1
341,MIX-0054,114626,Organizer,Medium,2025-03-18,1
342,MIX-0054,70429,Transporter,Medium,2025-04-09,1
343,MIX-0054,19014,Document Forger,Medium,2025-03-23,1
344,MIX-0054,36102,Transporter,High,2025-04-07,1
345,SMG-0055,105821,Organizer,Low,2025-07-30,1
346,SMG-0055,87207,Financier,High,2025-08-05,1
347,SMG-0055,39355,Recruiter,Medium,2025-07-24,1
348,SMG-0055,116623,Transporter,Low,2025-07-27,1
349,SMG-0055,60675,Unknown,Low,2025-07-20,1
350,SMG-0056,99529,Organizer,Confirmed,2025-10-17,0
351,SMG-0056,22713,Coordinator,High,2025-10-25,0
352,SMG-0056,72206,Lookout,Medium,2025-10-08,0
353,SMG-0056,51173,Unknown,High,2025-10-17,0
354,SMG-0056,80875,Document Forger,Confirmed,2025-10-09,0
355,SMG-0056,122025,Lookout,High,2025-10-18,0
356,SMG-0056,50020,Coordinator,Medium,2025-10-17,0
357,DRG-0057,122063,Organizer,Confirmed,2025-04-01,0
358,DRG-0057,63834,Lookout,Medium,2025-04-20,0
359,DRG-0057,87842,Recruiter,High,2025-04-17,0
360,DRG-0057,16382,Coordinator,Medium,2025-04-23,0
361,DRG-0057,111947,Document Forger,Medium,2025-04-01,0
362,DOC-0058,30515,Organizer,Medium,2025-03-09,1
363,DOC-0058,89435,Lookout,Low,2025-03-07,1
364,DOC-0058,86533,Unknown,Medium,2025-03-08,1
365,DOC-0058,44549,Financier,High,2025-02-14,1
366,DOC-0058,21192,Transporter,Medium,2025-02-13,1
367,SMG-0059,29945,Organizer,Low,2025-03-12,1
368,SMG-0059,63937,Transporter,Confirmed,2025-02-27,1
369,SMG-0059,44942,Lookout,Low,2025-02-11,1
370,SMG-0059,148333,Organizer,High,2025-02-23,1
371,SMG-0059,119806,Lookout,Medium,2025-02-14,1
372,SMG-0059,57059,Recruiter,High,2025-02-22,1
373,TRF-0060,56123,Organizer,High,2025-05-30,1
374,TRF-0060,6264,Document Forger,Confirmed,2025-06-09,1
375,TRF-0060,129617,Lookout,Confirmed,2025-05-28,1
376,TRF-0060,25388,Lookout,Confirmed,2025-06-01,1
377,TRF-0060,148182,Coordinator,High,2025-05-25,1
378,TRF-0060,86936,Coordinator,Confirmed,2025-05-24,1
379,MIX-0061,55459,Organizer,High,2025-04-04,1
380,MIX-0061,79409,Transporter,Low,2025-04-19,1
381,MIX-0061,13668,Transporter,Confirmed,2025-04-06,1
382,MIX-0062,143308,Organizer,Confirmed,2025-12-29,0
383,MIX-0062,143141,Recruiter,Confirmed,2025-12-28,0
384,MIX-0062,141200,Transporter,High,2025-12-28,0
385,MIX-0062,79650,Transporter,Confirmed,2025-12-21,0
386,MIX-0062,81229,Transporter,High,2025-12-24,0
387,SMG-0063,146005,Organizer,Low,2025-04-30,1
388,SMG-0063,8764,Lookout,Confirmed,2025-05-09,1
389,SMG-0063,3318,Financier,High,2025-05-03,1
390,SMG-0063,115954,Recruiter,High,2025-04-24,1
391,DOC-0064,96817,Organizer,Confirmed,2025-07-30,1
392,DOC-0064,1144,Recruiter,High,2025-08-11,1
393,DOC-0064,45147,Financier,High,2025-08-08,1
394,DOC-0064,123397,Recruiter,High,2025-08-05,1
395,DOC-0064,67082,Transporter,Medium,2025-07-31,1
396,DOC-0064,19212,Document Forger,Low,2025-08-15,1
397,DOC-0064,108245,Recruiter,High,2025-07-30,1
398,DOC-0064,133636,Coordinator,High,2025-08-02,1
399,DOC-0065,23464,Organizer,High,2025-08-24,1
400,DOC-0065,10225,Transporter,High,2025-09-04,1
401,DOC-0065,108245,Document Forger,Confirmed,2025-09-02,1
402,DOC-0065,56883,Document Forger,High,2025-08-11,1
403,DOC-0065,106032,Lookout,Low,2025-09-01,1
404,DOC-0065,61575,Unknown,Confirmed,2025-08-16,1
405,TRF-0066,65306,Organizer,Medium,2025-12-05,1
406,TRF-0066,34970,Recruiter,High,2025-12-21,1
407,TRF-0066,39984,Document Forger,High,2025-12-07,1
408,TRF-0066,3631,Recruiter,High,2025-12-17,1
409,TRF-0066,92195,Recruiter,High,2025-12-28,1
410,TRF-0066,88457,Document Forger,High,2025-12-30,1
411,TRF-0066,117840,Lookout,Low,2025-12-27,1
412,DRG-0067,142174,Organizer,Confirmed,2025-08-08,1
413,DRG-0067,57683,Transporter,High,2025-07-24,1
414,DRG-0067,108948,Transporter,High,2025-07-31,1
415,TRF-0068,3730,Organizer,Medium,2025-06-16,0
416,TRF-0068,145627,Transporter,High,2025-06-07,0
417,TRF-0068,128198,Transporter,Medium,2025-06-01,0
418,TRF-0068,107672,Recruiter,Medium,2025-06-15,0
419,TRF-0068,137537,Organizer,Low,2025-06-23,0
420,SMG-0069,56582,Organizer,Medium,2025-09-26,0
421,SMG-0069,6329,Lookout,Medium,2025-10-03,0
422,SMG-0069,23461,Lookout,Medium,2025-09-27,0
423,SMG-0069,71795,Transporter,High,2025-10-16,0
424,SMG-0069,96463,Financier,High,2025-10-04,0
425,SMG-0069,9226,Recruiter,Low,2025-10-01,0
426,SMG-0069,119661,Lookout,Low,2025-09-24,0
427,TRF-0070,81956,Organizer,Low,2025-08-22,1
428,TRF-0070,86930,Recruiter,Medium,2025-08-15,1
429,TRF-0070,131231,Document Forger,High,2025-08-24,1
430,TRF-0070,118817,Lookout,High,2025-09-05,1
431,TRF-0070,129767,Coordinator,Medium,2025-08-30,1
432,TRF-0070,107972,Transporter,Confirmed,2025-08-15,1
433,TRF-0070,28488,Transporter,High,2025-08-25,1
434,MIX-0071,145877,Organizer,High,2025-08-07,1
435,MIX-0071,25443,Transporter,Medium,2025-08-25,1
436,MIX-0071,39514,Transporter,Medium,2025-08-10,1
437,DRG-0072,105161,Organizer,Low,2025-06-09,1
438,DRG-0072,48443,Document Forger,High,2025-05-21,1
439,DRG-0072,65523,Document Forger,High,2025-05-28,1
440,DRG-0072,27841,Document Forger,High,2025-06-01,1
441,DRG-0072,86190,Recruiter,Confirmed,2025-05-18,1
442,DRG-0072,127665,Transporter,High,2025-05-24,1
443,DRG-0072,105616,Organizer,Medium,2025-06-10,1
444,DRG-0072,15662,Coordinator,Medium,2025-06-04,1
445,DRG-0073,67161,Organizer,High,2025-06-09,1
446,DRG-0073,48083,Transporter,High,2025-05-28,1
447,DRG-0073,17882,Lookout,Confirmed,2025-05-26,1
448,DRG-0073,23465,Financier,Medium,2025-05-22,1
449,DRG-0073,36441,Organizer,Medium,2025-05-20,1
450,DRG-0073,16474,Organizer,Confirmed,2025-06-10,1
451,DRG-0073,89718,Recruiter,Medium,2025-06-08,1
452,DRG-0073,75545,Transporter,Medium,2025-05-12,1
453,DRG-0074,109629,Organizer,Medium,2025-09-10,1
454,DRG-0074,91328,Organizer,Medium,2025-09-15,1
455,DRG-0074,2848,Recruiter,High,2025-09-08,1
456,DRG-0074,35830,Lookout,Medium,2025-09-18,1
457,TRF-0075,129279,Organizer,Low,2025-05-16,1
458,TRF-0075,40292,Financier,Low,2025-05-15,1
459,TRF-0075,130527,Organizer,High,2025-05-10,1
460,TRF-0075,126054,Document Forger,High,2025-05-17,1
461,DOC-0076,104659,Organizer,Medium,2025-10-03,1
462,DOC-0076,28916,Financier,Confirmed,2025-10-01,1
463,DOC-0076,97318,Recruiter,Confirmed,2025-09-21,1
464,DOC-0076,194,Recruiter,Confirmed,2025-10-13,1
465,DOC-0076,97018,Recruiter,Confirmed,2025-10-08,1
466,DRG-0077,119428,Organizer,Medium,2025-06-02,1
467,DRG-0077,13683,Recruiter,Medium,2025-05-31,1
468,DRG-0077,82039,Document Forger,Low,2025-06-09,1
469,DRG-0077,131318,Financier,Medium,2025-05-24,1
