case_id,case_type,victim_traveler_id,suspect_traveler_id,origin_country_id,transit_country_id,destination_country_id,reported_date,status,victim_age_at_time,victim_gender
56,Forced Marriage,70900,,1,1,8,2025-07-20,Under Investigation,14,F
57,Forced Marriage,20557,92117,3,,10,2025-07-09,Prosecuted,26,F
58,Labor,,51543,6,1,31,2025-07-15,Open,28,M
59,Organ,43759,31831,6,,1,2025-07-12,Under Investigation,29,M
60,Domestic Servitude,60091,117628,28,,33,2025-09-18,Open,39,F
61,Forced Marriage,77661,,6,,9,2025-04-26,Closed,29,F
62,Child,107958,95948,1,,9,2025-09-11,Under Investigation,7,M
63,Sexual,57732,,6,,13,2025-02-07,Convicted,35,F
64,Labor,26222,,3,,33,2025-01-28,Prosecuted,23,M
65,Labor,15859,68894,2,,10,2025-11-16,Open,50,M
66,Labor,2798,128708,3,1,9,2025-10-08,Convicted,42,M
67,Domestic Servitude,122622,87393,26,10,9,2025-12-15,Closed,28,F
68,Labor,112487,,6,,33,2025-05-03,Convicted,24,M
69,Child,124682,35071,1,1,9,2025-12-16,Under Investigation,8,M
70,Debt Bondage,52160,,6,1,9,2025-04-12,Closed,47,M
71,Child,117975,,22,,10,2025-06-01,Prosecuted,12,F
72,Child,25993,9523,3,,10,2025-08-14,Closed,7,M
73,Labor,67979,49305,26,,32,2025-12-17,Under Investigation,31,M
74,Sexual,30153,,6,1,37,2025-07-17,Convicted,29,F
75,Organ,24143,68723,6,,1,2025-04-04,Prosecuted,20,F
76,Child,74238,62165,3,,9,2025-06-05,Prosecuted,5,M
77,Labor,25125,,2,,31,2025-04-12,Convicted,25,M
78,Child,112260,,3,,9,2025-08-24,Under Investigation,12,F
79,Labor,2318,,26,4,31,2025-04-21,Under Investigation,44,F
80,Child,27007,15324,18,,1,2025-06-11,Closed,10,M
81,Sexual,69197,91861,28,1,13,2025-05-16,Under Investigation,16,F
82,Domestic Servitude,103077,41920,6,,33,2025-09-16,Prosecuted,45,F
83,Other,131977,,6,4,9,2025-08-23,Under Investigation,18,M
84,Child,67885,,1,4,4,2025-08-04,Closed,7,M
85,Other,52938,,18,,13,2025-03-05,Closed,35,F
86,Labor,110905,130975,26,,33,2025-09-28,Under Investigation,50,M
87,Domestic Servitude,83984,56666,28,10,9,2025-05-28,Under Investigation,24,F
88,Forced Marriage,6654,,6,10,11,2025-03-28,Convicted,17,F
89,Child,126312,96988,18,,10,2025-02-15,Under Investigation,5,M
90,Other,24352,,17,4,9,2025-08-16,Under Investigation,41,F
91,Other,28501,94281,18,1,13,2025-08-03,Under Investigation,26,F
92,Forced Marriage,3910,26773,6,,9,2025-04-25,Closed,17,F
93,Labor,147450,131404,26,,32,2025-06-15,Open,31,M
94,Domestic Servitude,142841,110899,28,,10,2025-08-07,Under Investigation,29,F
95,Sexual,91786,,28,4,13,2025-08-18,Convicted,33,F
96,Domestic Servitude,88963,117820,6,1,33,2025-01-13,Under Investigation,29,M
97,Other,88787,,6,1,9,2025-06-09,Prosecuted,38,M
98,Labor,75917,,26,4,32,2025-03-28,Under Investigation,29,M
99,Forced Marriage,75896,81893,3,10,11,2025-05-16,Open,30,F
100,Child,119917,51770,1,,10,2025-04-16,Open,11,M
101,Domestic Servitude,25365,21658,6,15,10,2025-06-02,Under Investigation,25,F
102,Child,55296,,18,4,4,2025-07-10,Open,5,M
103,Labor,77415,53339,26,,9,2025-12-24,Acquitted,30,M
104,Labor,14260,149903,1,4,10,2025-05-09,Open,49,M
105,Forced Marriage,37308,142408,6,1,9,2025-05-26,Closed,22,F
106,Labor,128333,129043,2,1,10,2025-06-09,Closed,44,M
107,Domestic Servitude,85447,,26,15,31,2025-11-18,Convicted,23,F
108,Debt Bondage,72243,,3,1,10,2025-06-24,Closed,44,M
109,Labor,135016,16065,6,10,33,2025-08-23,Under Investigation,29,M
110,Labor,118443,128432,3,1,9,2025-11-01,Closed,45,M
111,Labor,572,,1,,31,2025-10-05,Closed,38,M
112,Domestic Servitude,141861,13567,21,10,9,2025-05-07,Under Investigation,44,M
113,Organ,18640,29679,6,,1,2025-02-12,Under Investigation,42,M
114,Other,95691,64998,3,1,13,2025-12-02,Open,40,F
115,Organ,,,1,,1,2025-02-24,Prosecuted,32,F
116,Child,140681,93040,18,,9,2025-10-27,Prosecuted,9,M
117,Forced Marriage,39075,22431,6,1,9,2025-06-06,Acquitted,29,F
118,Domestic Servitude,37429,36520,28,1,33,2025-05-09,Prosecuted,29,F
119,Forced Marriage,46222,98177,3,,8,2025-05-12,Prosecuted,17,F
120,Sexual,117,,22,4,8,2025-06-25,Under Investigation,29,M
121,Child,145195,,1,1,4,2025-05-19,Convicted,7,F
122,Labor,,49880,1,4,34,2025-02-26,Open,33,M
123,Organ,1630,,3,,1,2025-02-05,Closed,32,F
124,Labor,112717,138558,26,10,31,2025-11-01,Prosecuted,32,M
125,Debt Bondage,18791,,1,1,10,2025-04-22,Prosecuted,43,M
126,Domestic Servitude,15371,,28,,33,2025-11-25,Under Investigation,32,F
127,Sexual,70676,91749,28,,10,2025-10-11,Open,33,F
128,Forced Marriage,37430,113068,1,,10,2025-07-01,Closed,22,F
129,Child,132976,586,1,1,9,2025-03-26,Closed,14,M
130,Labor,6747,133098,3,,34,2025-09-27,Open,25,M
131,Labor,123764,,2,10,9,2025-01-18,Under Investigation,35,M
132,Labor,59318,,2,1,9,2025-04-26,Closed,31,M
133,Labor,139709,56535,1,,33,2025-03-03,Convicted,32,M
134,Domestic Servitude,,111703,26,1,33,2025-02-16,Closed,22,F
135,Labor,23382,,26,1,31,2025-03-22,Open,21,M
136,Labor,115977,114687,26,4,10,2025-12-09,Closed,36,M
137,Labor,81837,93962,26,,34,2025-06-03,Convicted,41,M
138,Labor,47115,,1,,31,2025-02-05,Prosecuted,28,M
139,Child,62425,89493,18,1,1,2025-11-24,Under Investigation,17,F
140,Organ,47897,,1,,1,2025-10-07,Under Investigation,28,M
141,Labor,108458,118543,26,10,9,2025-06-09,Closed,38,M
142,Debt Bondage,51740,80236,26,1,9,2025-07-07,Closed,35,M
143,Other,123710,,3,1,8,2025-06-21,Under Investigation,47,M
144,Domestic Servitude,12672,143414,28,,33,2025-11-24,Open,24,F
145,Forced Marriage,2368,,1,,9,2025-12-07,Under Investigation,24,F
146,Sexual,61087,1999,21,1,8,2025-02-21,Under Investigation,19,F
147,Sexual,139692,57570,22,,37,2025-01-25,Prosecuted,33,F
148,Labor,144676,,2,4,34,2025-06-18,Under Investigation,22,F
149,Child,89168,120726,1,4,10,2025-05-15,Under Investigation,10,F
150,Other,114141,82827,17,12,9,2025-07-13,Under Investigation,22,M
151,Labor,19237,82261,3,1,10,2025-02-17,Prosecuted,31,M
152,Forced Marriage,125811,,6,10,11,2025-12-06,Acquitted,26,F
153,Domestic Servitude,50025,138157,6,1,31,2025-04-11,Closed,30,F
154,Debt Bondage,139658,63407,3,1,9,2025-07-24,Under Investigation,17,M
155,Labor,35242,105430,3,10,34,2025-07-28,Closed,29,M
156,Child,62445,,18,,1,2025-02-26,Prosecuted,7,M
157,Domestic Servitude,95976,,21,10,9,2025-12-07,Closed,27,F
158,Other,,,16,1,10,2025-06-16,Under Investigation,27,M
159,Sexual,141171,50586,20,,12,2025-02-06,Under Investigation,22,F
160,Forced Marriage,50362,,3,10,10,2025-08-20,Convicted,17,F
161,Sexual,12617,33053,20,4,10,2025-03-26,Prosecuted,34,F
162,Labor,73782,2097,6,10,34,2025-10-27,Open,40,M
163,Sexual,37628,137455,22,4,12,2025-02-14,Under Investigation,22,F
164,Labor,134025,,3,10,34,2025-11-20,Prosecuted,24,M
165,Debt Bondage,33925,,1,1,9,2025-04-11,Open,44,M
166,Domestic Servitude,14024,,28,10,9,2025-03-14,Convicted,22,F
167,Debt Bondage,11510,,6,1,9,2025-10-18,Under Investigation,55,F
168,Labor,92233,,3,,10,2025-11-19,Under Investigation,26,M
169,Child,65814,144485,18,4,4,2025-04-16,Under Investigation,14,F
170,Sexual,98681,,6,12,13,2025-07-03,Prosecuted,22,F
171,Child,122740,,18,1,10,2025-01-22,Convicted,16,M
172,Debt Bondage,133940,41156,3,1,10,2025-04-06,Closed,23,M
173,Other,46271,,18,1,9,2025-12-19,Prosecuted,27,F
174,Labor,66143,56039,26,,32,2025-05-20,Closed,23,M
175,Child,83792,,1,1,1,2025-01-06,Under Investigation,5,F
176,Child,50353,,3,4,4,2025-12-02,Convicted,7,M
177,Labor,65306,65228,1,,10,2025-06-15,Prosecuted,25,M
178,Labor,77358,,1,,32,2025-01-09,Acquitted,33,M
179,Domestic Servitude,47820,22358,26,10,31,2025-02-13,Open,40,M
180,Organ,62178,49358,1,,1,2025-02-16,Convicted,41,M
181,Forced Marriage,56008,,1,1,9,2025-09-18,Acquitted,28,F
182,Labor,11089,1056,1,,34,2025-11-10,Convicted,29,M
183,Other,129172,,18,12,13,2025-12-15,Open,47,M
184,Labor,141781,123505,3,4,33,2025-05-11,Under Investigation,38,M
185,Sexual,29942,88281,6,12,37,2025-03-03,Prosecuted,25,M
186,Labor,30878,39023,6,,33,2025-11-25,Prosecuted,50,F
187,Debt Bondage,62811,104307,3,1,9,2025-02-12,Prosecuted,28,M
188,Sexual,128025,62937,6,4,8,2025-02-05,Convicted,35,F
189,Child,,,22,4,9,2025-01-22,Closed,9,M
190,Labor,2015,143191,26,,32,2025-06-12,Closed,48,M
191,Forced Marriage,106367,,1,1,8,2025-12-12,Under Investigation,28,F
192,Forced Marriage,149056,,6,10,8,2025-09-13,Under Investigation,15,F
193,Domestic Servitude,43548,148830,6,10,33,2025-09-24,Closed,33,F
194,Debt Bondage,94619,,1,1,1,2025-02-12,Convicted,32,M
195,Debt Bondage,58913,98774,6,1,1,2025-04-18,Closed,45,M
196,Organ,16160,,1,,1,2025-11-18,Open,20,M
197,Labor,40939,34480,3,10,34,2025-11-13,Closed,20,M
198,Forced Marriage,54307,,1,10,8,2025-12-26,Closed,23,F
199,Sexual,46243,136044,21,12,13,2025-05-26,Prosecuted,20,F
200,Sexual,22283,110414,6,1,37,2025-08-16,Closed,20,F
201,Organ,67641,4854,3,,1,2025-04-24,Acquitted,35,M
202,Labor,34185,9348,3,,31,2025-01-27,Open,36,M
203,Child,113412,5204,22,,4,2025-02-01,Open,8,F
204,Child,65542,,18,4,9,2025-10-23,Under Investigation,7,M
205,Forced Marriage,57613,,1,10,10,2025-05-21,Closed,28,F
206,Organ,126650,72670,1,,1,2025-01-23,Prosecuted,40,F
207,Other,119032,,1,1,13,2025-07-26,Prosecuted,22,M
208,Debt Bondage,71570,,1,1,9,2025-08-16,Prosecuted,32,M
209,Child,27993,,22,4,4,2025-11-19,Prosecuted,13,M
210,Labor,93109,80197,1,1,31,2025-11-02,Closed,23,M
211,Child,57733,6036,22,,1,2025-08-19,Prosecuted,5,F
212,Other,148193,75397,6,4,8,2025-06-11,Closed,22,F
213,Labor,23139,53677,3,,33,2025-12-07,Under Investigation,50,M
214,Child,10542,10619,1,4,10,2025-03-02,Prosecuted,6,M
215,Organ,73558,123088,1,,1,2025-03-07,Acquitted,34,M
216,Child,24538,,3,,1,2025-02-17,Prosecuted,12,M
217,Child,1769,97030,18,4,1,2025-07-22,Convicted,8,F
218,Organ,95915,136088,3,,1,2025-07-26,Closed,20,M
219,Child,53101,,22,4,10,2025-02-21,Closed,17,M
220,Debt Bondage,138724,,1,1,9,2025-03-28,Acquitted,29,F
221,Labor,141480,,26,10,31,2025-06-11,Open,22,M
222,Child,22406,,1,1,10,2025-04-07,Open,13,M
223,Labor,76764,12383,2,,10,2025-11-18,Prosecuted,40,M
224,Other,,,6,12,8,2025-11-10,Under Investigation,36,M
225,Labor,131361,,26,,10,2025-02-21,Under Investigation,33,M
226,Other,85120,124743,16,1,8,2025-11-07,Under Investigation,34,M
227,Debt Bondage,12493,,6,,1,2025-02-25,Closed,35,F
228,Other,110873,,3,12,8,2025-12-15,Convicted,38,M
229,Other,146092,79216,16,1,8,2025-09-16,Closed,45,F
230,Labor,18800,,2,4,10,2025-04-26,Closed,40,M
231,Other,85981,,17,1,10,2025-06-25,Prosecuted,24,M
232,Organ,12950,85296,6,,1,2025-04-12,Closed,41,M
233,Forced Marriage,62116,115174,3,10,8,2025-08-12,Convicted,15,F
234,Labor,14211,17203,3,1,32,2025-03-18,Prosecuted,42,M
235,Labor,128457,68931,2,,31,2025-12-05,Acquitted,19,M
236,Debt Bondage,72150,,6,1,9,2025-08-17,Closed,16,M
237,Child,53954,,3,1,1,2025-11-03,Under Investigation,8,F
238,Debt Bondage,89966,74749,3,1,10,2025-05-13,Prosecuted,39,F
239,Child,147194,115788,1,1,10,2025-09-11,Closed,11,F
240,Labor,129238,29510,2,1,33,2025-03-22,Under Investigation,45,F
241,Other,45166,,6,12,9,2025-01-12,Under Investigation,40,M
242,Child,53901,,3,1,9,2025-04-15,Open,5,M
243,Sexual,47616,,28,,13,2025-01-02,Closed,27,M
244,Forced Marriage,102937,28334,6,,8,2025-08-25,Convicted,22,F
245,Child,43700,,22,1,10,2025-06-11,Closed,16,M
246,Debt Bondage,86538,25204,26,,1,2025-06-16,Prosecuted,19,F
247,Other,17941,,18,,13,2025-06-09,Open,47,M
248,Labor,24673,,1,1,33,2025-06-26,Prosecuted,27,M
249,Labor,133129,89974,26,1,32,2025-09-21,Closed,47,M
250,Labor,11841,,26,10,33,2025-09-21,Convicted,34,M
251,Labor,97761,76748,3,4,34,2025-06-11,Convicted,45,M
252,Organ,59279,,1,,1,2025-02-25,Open,22,M
253,Other,41356,18534,1,4,8,2025-01-18,Acquitted,18,F
254,Forced Marriage,118821,,3,10,10,2025-01-15,Convicted,16,F
255,Domestic Servitude,2093,148458,28,,33,2025-07-07,Acquitted,44,F
256,Debt Bondage,51736,,1,1,10,2025-08-18,Prosecuted,18,F
257,Labor,73510,,3,4,34,2025-01-20,Under Investigation,27,F
258,Labor,25290,,2,10,32,2025-12-05,Under Investigation,47,M
259,Labor,142901,36681,26,4,33,2025-06-17,Under Investigation,19,F
260,Domestic Servitude,20190,128317,28,15,31,2025-04-17,Convicted,40,F
261,Labor,140722,69181,2,,33,2025-04-12,Under Investigation,38,F
262,Labor,,,26,,31,2025-04-26,Prosecuted,29,M
263,Child,85064,,1,4,1,2025-11-21,Open,13,M
264,Labor,47849,138686,1,1,32,2025-08-22,Open,26,M
265,Organ,112964,129267,1,,1,2025-12-05,Open,28,M
266,Labor,77738,73615,26,4,9,2025-01-16,Prosecuted,27,M
267,Labor,131209,,6,1,10,2025-08-01,Under Investigation,28,M
268,Labor,92051,,1,1,10,2025-06-04,Prosecuted,27,M
269,Labor,145137,,6,,34,2025-06-22,Acquitted,49,M
270,Domestic Servitude,139776,131768,26,15,31,2025-12-26,Under Investigation,37,F
271,Domestic Servitude,100023,129616,6,1,9,2025-05-13,Prosecuted,37,F
272,Labor,29798,1938,26,,32,2025-01-27,Acquitted,18,M
273,Child,129903,55324,22,4,4,2025-05-16,Convicted,8,M
274,Domestic Servitude,138624,138104,21,,9,2025-08-09,Prosecuted,43,F
275,Labor,,85409,3,4,32,2025-04-25,Under Investigation,49,M
276,Domestic Servitude,11950,,21,1,9,2025-08-04,Prosecuted,34,F
277,Sexual,6641,,21,,13,2025-07-18,Under Investigation,21,F
278,Child,29486,,1,1,4,2025-06-16,Closed,16,M
279,Labor,98704,,6,4,10,2025-07-04,Under Investigation,18,F
280,Sexual,71348,91532,6,,13,2025-11-26,Prosecuted,23,F
281,Organ,101927,44418,3,,1,2025-07-07,Closed,25,F
282,Child,79293,,18,1,10,2025-10-13,Open,11,M
283,Child,56036,27951,22,4,9,2025-10-19,Prosecuted,15,M
284,Sexual,142815,67054,6,,8,2025-04-11,Closed,33,F
285,Child,76728,,1,1,4,2025-01-27,Open,8,F
286,Sexual,38480,139182,28,,13,2025-05-13,Under Investigation,22,F
287,Other,45195,,3,4,9,2025-05-28,Closed,39,F
288,Domestic Servitude,45470,72962,21,,33,2025-04-21,Prosecuted,40,F
289,Forced Marriage,51186,94914,6,10,9,2025-09-14,Prosecuted,29,F
290,Child,103877,,18,1,9,2025-06-26,Under Investigation,15,M
291,Sexual,37126,,21,12,10,2025-09-14,Under Investigation,17,F
292,Labor,,,6,1,10,2025-03-20,Convicted,20,M
293,Other,73787,,17,,8,2025-06-18,Under Investigation,23,F
294,Forced Marriage,123537,,6,1,9,2025-10-25,Under Investigation,21,F
295,Organ,47551,,6,,1,2025-01-11,Convicted,35,M
296,Labor,126609,,6,,9,2025-04-19,Closed,27,F
297,Debt Bondage,53664,,3,1,9,2025-09-05,Closed,38,M
298,Child,118629,35527,3,4,1,2025-04-09,Under Investigation,15,F
299,Child,60433,144642,18,,4,2025-08-21,Under Investigation,15,F
300,Forced Marriage,104050,,1,1,11,2025-12-03,Prosecuted,19,F
301,Sexual,72212,6644,22,,37,2025-04-27,Open,18,F
302,Child,113660,533,18,,1,2025-09-04,Convicted,5,M
303,Labor,107739,,3,4,9,2025-02-16,Under Investigation,49,M
304,Other,30677,,17,12,10,2025-11-06,Under Investigation,50,M
305,Domestic Servitude,97850,104106,6,1,10,2025-09-24,Closed,28,F
306,Forced Marriage,66307,,6,,11,2025-08-15,Prosecuted,28,F
307,Child,149915,124478,22,1,4,2025-12-24,Under Investigation,8,M
308,Other,43570,149492,6,,10,2025-09-09,Convicted,28,F
309,Labor,34353,119363,2,,34,2025-09-12,Acquitted,19,M
310,Child,84579,90914,22,4,9,2025-06-26,Closed,5,F
311,Debt Bondage,36102,137115,6,1,10,2025-07-17,Convicted,32,M
312,Sexual,,,6,12,10,2025-01-01,Open,19,F
313,Child,118282,,3,4,10,2025-09-23,Under Investigation,14,F
314,Debt Bondage,120826,33241,26,1,10,2025-04-05,Under Investigation,53,M
315,Labor,120437,,26,4,32,2025-06-23,Under Investigation,43,M
316,Child,137059,112738,22,,10,2025-07-09,Under Investigation,14,F
317,Child,43060,68735,18,4,4,2025-07-15,Open,14,F
318,Organ,149200,68648,6,,1,2025-12-23,Under Investigation,23,M
319,Debt Bondage,121834,24085,26,1,9,2025-04-20,Prosecuted,52,M
320,Domestic Servitude,142510,149810,28,15,31,2025-04-15,Open,44,F
321,Child,,29242,3,4,4,2025-03-10,Prosecuted,16,M
322,Debt Bondage,9655,82330,1,1,10,2025-12-24,Prosecuted,19,M
323,Labor,102111,135056,3,4,9,2025-05-17,Convicted,32,F
324,Domestic Servitude,21022,1721,26,10,9,2025-01-21,Convicted,20,F
325,Labor,75810,,3,1,31,2025-07-03,Under Investigation,40,M
326,Forced Marriage,51865,,6,,9,2025-11-09,Open,27,F
327,Labor,42812,144645,3,10,31,2025-03-24,Open,33,M
328,Child,84131,129102,3,1,9,2025-06-27,Prosecuted,14,M
329,Child,118296,55107,18,,10,2025-03-23,Open,7,F
330,Labor,147094,,26,10,10,2025-09-14,Under Investigation,28,M
331,Other,79998,109399,1,1,8,2025-02-12,Open,43,F
332,Labor,127801,,26,,33,2025-06-27,Convicted,48,M
333,Other,50561,,3,,8,2025-03-17,Convicted,26,F
334,Debt Bondage,78464,103990,3,,10,2025-10-28,Convicted,42,M
335,Labor,78568,,3,4,9,2025-02-10,Closed,48,M
336,Sexual,49763,,21,12,10,2025-02-27,Closed,33,F
337,Labor,64391,142867,3,4,32,2025-01-09,Under Investigation,20,M
338,Child,112547,117411,22,4,9,2025-08-18,Under Investigation,12,F
339,Sexual,49945,,20,,37,2025-06-03,Closed,18,F
340,Debt Bondage,64941,,6,1,9,2025-11-20,Under Investigation,43,M
341,Organ,109012,70277,3,,1,2025-11-24,Under Investigation,27,M
342,Domestic Servitude,,80069,26,15,10,2025-12-10,Prosecuted,32,F
343,Forced Marriage,114481,,1,1,10,2025-10-17,Convicted,28,M
344,Other,93894,83451,1,,13,2025-11-05,Under Investigation,30,F
345,Domestic Servitude,113559,138006,6,15,33,2025-08-13,Under Investigation,40,F
346,Other,31531,48104,1,4,8,2025-01-22,Under Investigation,25,F
347,Labor,73325,30370,6,4,31,2025-10-25,Open,46,M
348,Labor,94271,139773,3,10,34,2025-01-03,Open,18,M
349,Organ,122007,,1,,1,2025-01-21,Acquitted,21,M
350,Labor,23,61539,6,4,10,2025-09-22,Prosecuted,44,M
351,Labor,84565,11455,2,1,32,2025-10-07,Convicted,20,M
352,Child,30679,113233,18,1,10,2025-06-26,Under Investigation,12,M
353,Other,86894,96012,1,,10,2025-07-04,Under Investigation,34,F
354,Domestic Servitude,78532,,6,10,10,2025-06-26,Closed,26,F
355,Child,140252,,22,4,4,2025-04-17,Closed,13,M
356,Child,68358,91670,3,1,9,2025-10-19,Open,14,F
357,Child,100165,,1,4,1,2025-07-10,Convicted,10,M
358,Child,140930,,18,1,9,2025-11-07,Prosecuted,8,F
359,Other,100372,88895,17,,8,2025-09-27,Convicted,19,F
360,Forced Marriage,32573,,6,1,9,2025-05-08,Convicted,30,F
361,Domestic Servitude,96487,,6,10,9,2025-03-28,Closed,41,F
362,Child,143104,,22,4,4,2025-01-15,Open,12,M
363,Domestic Servitude,97635,147500,21,15,9,2025-05-19,Prosecuted,35,F
364,Labor,4905,52047,1,10,9,2025-10-28,Under Investigation,27,M
365,Child,45964,53321,1,,9,2025-03-28,Convicted,12,F
366,Domestic Servitude,142035,146992,26,10,33,2025-03-04,Prosecuted,22,F
367,Child,38641,75603,1,1,10,2025-08-18,Under Investigation,10,F
368,Forced Marriage,137956,,3,10,9,2025-07-23,Closed,27,F
369,Child,4852,102579,22,1,4,2025-03-12,Prosecuted,17,M
370,Labor,95108,45075,2,1,31,2025-04-08,Prosecuted,40,M
371,Organ,99441,60888,1,,1,2025-09-11,Prosecuted,44,M
372,Domestic Servitude,92997,,6,,10,2025-07-27,Prosecuted,29,F
373,Labor,140035,124160,26,,34,2025-08-06,Closed,41,M
374,Other,118013,,3,12,9,2025-06-09,Under Investigation,46,F
375,Labor,122570,,6,,32,2025-11-22,Under Investigation,49,M
376,Debt Bondage,144893,70690,6,,1,2025-04-16,Under Investigation,51,M
377,Debt Bondage,97108,147965,1,1,10,2025-08-25,Prosecuted,52,F
378,Sexual,54790,,20,1,13,2025-11-27,Closed,32,F
379,Other,92651,,6,1,9,2025-01-25,Open,30,M
380,Organ,49126,71695,1,,1,2025-04-16,Prosecuted,43,M
381,Domestic Servitude,139510,114969,6,,33,2025-08-10,Under Investigation,44,F
382,Other,26716,,16,1,8,2025-03-12,Prosecuted,47,M
383,Debt Bondage,93785,110334,6,1,10,2025-08-02,Under Investigation,47,M
384,Labor,147496,,26,10,34,2025-07-15,Acquitted,45,M
385,Other,39586,,18,1,13,2025-03-04,Closed,49,M
386,Organ,81065,,6,,1,2025-06-09,Closed,34,F
387,Forced Marriage,138035,,1,10,11,2025-04-24,Closed,17,F
388,Labor,62194,,6,10,34,2025-11-18,Closed,50,F
389,Debt Bondage,,10626,3,,9,2025-12-12,Closed,34,M
390,Domestic Servitude,60098,32271,6,15,31,2025-09-15,Under Investigation,27,F
391,Domestic Servitude,146938,134904,21,10,9,2025-08-18,Closed,39,M
392,Labor,4415,19318,1,4,9,2025-06-11,Prosecuted,22,M
393,Labor,67665,124115,26,1,10,2025-02-11,Closed,24,M
394,Organ,22647,133706,6,,1,2025-03-13,Prosecuted,47,M
395,Labor,119570,36982,3,,34,2025-09-16,Under Investigation,23,F
396,Organ,82381,,6,,1,2025-04-15,Closed,30,M
397,Sexual,62606,,22,1,37,2025-04-10,Under Investigation,21,F
398,Forced Marriage,126885,9033,1,,9,2025-12-22,Convicted,25,F
399,Domestic Servitude,113447,24317,21,15,33,2025-05-10,Prosecuted,38,F
400,Labor,85291,27387,2,1,34,2025-05-11,Acquitted,27,M
401,Other,103156,26007,18,,13,2025-09-17,Prosecuted,16,F
402,Labor,42036,90682,1,4,9,2025-06-23,Acquitted,45,M
403,Domestic Servitude,98739,,28,,33,2025-09-10,Prosecuted,30,F
