crossing_id,detected_date,location_name,nearest_port_id,latitude,longitude,direction,detection_method,group_size,smuggler_linked,apprehended_count,outcome,lead_traveler_id,nationality_id
48,2025-03-25 20:13:00,Makran coast - Pasni,39,25.271258,63.468616,Inbound,Patrol,12,0,12,Apprehended,,18
49,2025-11-15 21:22:00,Khyber Pass - off-road crossing,33,34.045167,71.042399,Outbound,Informant,3,0,3,Apprehended,,3
50,2025-01-15 21:20:00,Chaman border - Main sector,34,30.891968,66.426501,Inbound,Informant,8,0,6,Partial Capture,,3
51,2025-03-28 16:54:00,Chaman border - Main sector,34,30.874099,66.479454,Inbound,Drone,2,0,0,Turned Back,,1
52,2025-06-27 21:57:00,Makran coast - Pasni,39,25.301873,63.490521,Inbound,Drone,12,1,12,Apprehended,115309,18
53,2025-11-11 02:12:00,Spin Boldak corridor,34,30.980161,66.501914,Inbound,Drone,8,1,0,Escaped,,3
54,2025-04-14 18:07:00,Chaman border - Main sector,34,30.942392,66.465165,Inbound,Checkpoint,2,1,0,Turned Back,,1
55,2025-12-22 15:53:00,Khyber Pass - off-road crossing,33,34.022934,71.06622,Outbound,Informant,12,1,0,Turned Back,,3
56,2025-02-14 04:09:00,Chaman border - Main sector,34,30.954322,66.495281,Inbound,Sensor,8,0,3,Partial Capture,135587,3
57,2025-03-10 17:02:00,Chaman border - Main sector,34,30.932297,66.480186,Inbound,Drone,5,0,0,Escaped,,1
58,2025-12-18 02:00:00,Makran coast - Jiwani,39,25.002883,61.77686,Inbound,Drone,8,0,8,Apprehended,110247,18
59,2025-03-13 20:46:00,Torkham vicinity - North sector,33,34.124299,71.068995,Outbound,Sensor,5,1,0,Escaped,76608,1
60,2025-11-21 04:57:00,Torkham vicinity - North sector,33,34.130261,71.078388,Outbound,Sensor,1,0,1,Apprehended,118277,3
61,2025-11-19 19:09:00,Chaman border - Main sector,34,30.881878,66.427904,Inbound,Sensor,1,0,0,Turned Back,68506,1
62,2025-12-20 06:02:00,Wagah border - Agricultural zone,35,31.572383,74.547298,Inbound,Sensor,8,0,8,Apprehended,72288,1
63,2025-10-06 14:28:00,Makran coast - Jiwani,39,25.02572,61.749211,Inbound,Tip-Off,12,1,0,Turned Back,,4
64,2025-09-05 23:28:00,Torkham vicinity - South sector,33,34.029242,71.102825,Inbound,Patrol,3,0,0,Turned Back,2952,1
65,2025-12-21 10:54:00,Khyber Pass - off-road crossing,33,34.092697,71.073888,Inbound,Drone,8,0,0,Turned Back,144544,3
66,2025-10-20 23:58:00,Chaman border - Main sector,34,30.966145,66.46704,Inbound,Checkpoint,12,0,12,Apprehended,,1
67,2025-08-02 02:28:00,Karachi coastal - Ibrahim Hyderi,38,24.796603,67.133905,Outbound,Sensor,3,0,2,Partial Capture,,6
68,2025-09-21 16:07:00,Kasur sector,35,31.107254,74.488137,Outbound,Tip-Off,20,1,20,Apprehended,122639,2
69,2025-08-24 12:05:00,Torkham vicinity - South sector,33,34.073798,71.12145,Inbound,Checkpoint,5,1,0,Escaped,,3
70,2025-11-23 18:31:00,Torkham vicinity - South sector,33,34.075598,71.122297,Inbound,Patrol,1,1,1,Partial Capture,,1
71,2025-03-24 13:26:00,Khunjerab Pass area,37,36.848306,75.372498,Inbound,Checkpoint,8,1,0,Turned Back,,43
72,2025-07-01 02:54:00,Torkham vicinity - South sector,33,34.098573,71.145227,Inbound,Patrol,5,1,5,Apprehended,,3
73,2025-01-18 20:15:00,Taftan border zone,36,28.944559,61.557249,Outbound,Drone,2,0,0,Escaped,,1
74,2025-04-07 23:52:00,Chaman border - Western flank,34,30.928276,66.382705,Inbound,Sensor,3,0,3,Apprehended,,3
75,2025-06-12 21:22:00,Taftan border zone,36,28.946419,61.594779,Inbound,Patrol,5,0,0,Escaped,58645,3
76,2025-12-04 01:35:00,Torkham vicinity - South sector,33,34.109643,71.06016,Inbound,Patrol,1,1,1,Partial Capture,51626,1
77,2025-02-02 23:12:00,Torkham vicinity - North sector,33,34.047781,71.043641,Outbound,Patrol,12,1,0,Escaped,75977,3
78,2025-12-22 14:00:00,Torkham vicinity - North sector,33,34.050335,71.101969,Outbound,Patrol,8,1,8,Apprehended,13107,1
79,2025-08-27 08:06:00,Makran coast - Jiwani,39,25.046815,61.705943,Inbound,Patrol,5,1,1,Partial Capture,63824,4
80,2025-02-10 17:06:00,Torkham vicinity - South sector,33,34.088025,71.129304,Inbound,Informant,2,0,2,Apprehended,,3
81,2025-11-19 22:17:00,Spin Boldak corridor,34,30.917768,66.467521,Inbound,Tip-Off,12,1,12,Apprehended,,3
82,2025-11-07 22:13:00,Taftan border zone,36,28.912577,61.630196,Inbound,Patrol,3,0,3,Apprehended,90966,3
83,2025-04-23 17:27:00,Landi Kotal area,33,34.079779,71.156313,Inbound,Patrol,1,0,0,Escaped,,3
84,2025-04-24 20:32:00,Khyber Pass - off-road crossing,33,34.073326,71.072997,Inbound,Patrol,5,0,5,Apprehended,,3
85,2025-01-09 04:03:00,Chaman border - Main sector,34,30.926254,66.43549,Outbound,Other,3,1,3,Apprehended,68457,1
86,2025-12-23 14:44:00,Chaman border - Main sector,34,30.940022,66.450823,Inbound,Checkpoint,1,0,1,Apprehended,,1
87,2025-04-28 03:17:00,Torkham vicinity - North sector,33,34.135638,71.054085,Outbound,Patrol,1,1,1,Apprehended,78767,1
88,2025-02-27 04:56:00,Landi Kotal area,33,34.080314,71.109265,Inbound,Tip-Off,2,1,2,Apprehended,127945,3
89,2025-07-04 19:16:00,Khyber Pass - off-road crossing,33,34.090345,71.078662,Inbound,CCTV,20,1,0,Turned Back,,3
90,2025-07-08 17:18:00,Torkham vicinity - South sector,33,34.105898,71.114345,Outbound,Checkpoint,1,0,1,Apprehended,81093,1
91,2025-08-24 10:02:00,Makran coast - Jiwani,39,25.097924,61.707958,Inbound,Drone,5,1,5,Apprehended,,4
92,2025-10-22 20:45:00,Chaman border - Western flank,34,30.850366,66.40098,Outbound,Sensor,5,1,0,Escaped,100013,3
93,2025-03-07 06:43:00,Makran coast - Pasni,39,25.219937,63.490706,Inbound,Tip-Off,3,1,0,Escaped,,18
94,2025-09-25 12:23:00,Torkham vicinity - North sector,33,34.07693,71.067311,Outbound,Drone,2,1,2,Apprehended,,1
95,2025-09-27 20:35:00,Taftan border zone,36,28.946565,61.552281,Inbound,Drone,5,1,0,Turned Back,,4
96,2025-12-12 23:02:00,Chaman border - Main sector,34,30.931116,66.42931,Outbound,Patrol,2,1,0,Turned Back,,3
97,2025-01-04 07:12:00,Khyber Pass - off-road crossing,33,34.077083,71.063426,Inbound,Sensor,12,1,12,Apprehended,,3
98,2025-04-18 00:54:00,Torkham vicinity - North sector,33,34.078625,71.08169,Inbound,Informant,5,1,0,Turned Back,,1
99,2025-01-20 14:38:00,Chaman border - Main sector,34,30.890367,66.459211,Inbound,CCTV,2,0,0,Turned Back,84005,3
100,2025-01-06 20:22:00,Chaman border - Main sector,34,30.872453,66.500775,Inbound,Informant,2,1,0,Turned Back,13732,1
101,2025-11-26 19:24:00,Karachi coastal - Ibrahim Hyderi,38,24.774228,67.196903,Inbound,Other,2,1,2,Apprehended,,1
102,2025-01-18 20:00:00,Makran coast - Pasni,39,25.263038,63.460753,Inbound,Drone,8,1,0,Turned Back,,21
103,2025-02-21 19:44:00,Chaman border - Main sector,34,30.932735,66.419074,Inbound,Checkpoint,20,1,0,Escaped,,1
104,2025-05-17 22:08:00,Landi Kotal area,33,34.069927,71.095944,Inbound,Tip-Off,8,1,8,Apprehended,,3
105,2025-01-05 22:06:00,Torkham vicinity - South sector,33,34.06573,71.081911,Inbound,Informant,5,0,5,Apprehended,,3
106,2025-07-07 08:32:00,Chaman border - Main sector,34,30.876795,66.475945,Inbound,Sensor,30,1,30,Apprehended,,1
107,2025-03-18 17:48:00,Torkham vicinity - North sector,33,34.114405,71.038546,Inbound,Tip-Off,1,0,0,Turned Back,,1
108,2025-08-15 22:18:00,Torkham vicinity - North sector,33,34.138068,71.061731,Inbound,Patrol,3,1,0,Escaped,125522,3
109,2025-10-19 18:24:00,Taftan border zone,36,28.890885,61.56418,Inbound,Checkpoint,1,0,1,Partial Capture,,3
110,2025-12-03 22:08:00,Spin Boldak corridor,34,30.909195,66.508617,Inbound,Drone,12,1,0,Turned Back,,3
111,2025-01-27 19:54:00,Landi Kotal area,33,34.069695,71.174319,Outbound,Patrol,3,0,3,Apprehended,125720,1
112,2025-08-09 23:23:00,Makran coast - Ormara,38,25.256765,64.594358,Outbound,Checkpoint,5,0,5,Apprehended,,4
113,2025-06-16 12:20:00,Torkham vicinity - South sector,33,34.058338,71.071732,Inbound,Patrol,2,1,0,Escaped,,1
114,2025-09-24 22:53:00,Taftan border zone,36,28.945419,61.595448,Outbound,Sensor,2,0,2,Apprehended,,1
115,2025-11-06 01:40:00,Kasur sector,35,31.113045,74.494753,Inbound,Informant,1,1,0,Turned Back,,2
116,2025-03-22 04:40:00,Makran coast - Ormara,38,25.259718,64.617651,Inbound,Patrol,3,1,3,Apprehended,,1
117,2025-04-24 17:26:00,Torkham vicinity - North sector,33,34.104015,71.036792,Inbound,Tip-Off,8,1,8,Apprehended,,1
118,2025-10-28 20:14:00,Khyber Pass - off-road crossing,33,34.082806,71.073519,Inbound,Other,5,0,0,Turned Back,,3
119,2025-11-23 17:12:00,Khyber Pass - off-road crossing,33,34.007058,71.033105,Inbound,Drone,5,1,0,Turned Back,106893,3
120,2025-07-21 21:49:00,Torkham vicinity - North sector,33,34.042113,71.097748,Outbound,Informant,20,1,16,Partial Capture,,3
121,2025-05-01 14:26:00,Makran coast - Jiwani,39,25.093526,61.769397,Inbound,Informant,2,1,2,Apprehended,,1
122,2025-08-22 20:54:00,Chaman border - Western flank,34,30.914444,66.422436,Inbound,Patrol,5,1,0,Turned Back,,3
123,2025-10-04 21:45:00,Wagah border - Agricultural zone,35,31.639488,74.573467,Outbound,Drone,1,0,0,Escaped,16315,2
124,2025-01-21 22:08:00,Torkham vicinity - South sector,33,34.073368,71.058984,Inbound,CCTV,5,0,5,Apprehended,130972,1
125,2025-01-11 22:30:00,Torkham vicinity - North sector,33,34.074412,71.078036,Outbound,Drone,5,0,0,Turned Back,,3
126,2025-04-04 22:02:00,Torkham vicinity - South sector,33,34.023551,71.083295,Outbound,CCTV,8,1,0,Escaped,,3
127,2025-03-06 05:49:00,Karachi coastal - Ibrahim Hyderi,38,24.747377,67.122043,Inbound,Tip-Off,5,0,0,Turned Back,144544,22
128,2025-11-02 13:34:00,Chaman border - Western flank,34,30.870345,66.436706,Outbound,Drone,8,0,0,Turned Back,84853,3
129,2025-06-12 23:51:00,Torkham vicinity - South sector,33,34.088948,71.132373,Inbound,Tip-Off,5,0,5,Apprehended,,1
130,2025-09-21 21:36:00,Chaman border - Main sector,34,30.902844,66.446434,Outbound,Sensor,3,1,0,Escaped,,1
131,2025-02-08 23:06:00,Spin Boldak corridor,34,30.991232,66.476877,Outbound,Tip-Off,2,0,0,Turned Back,143366,3
132,2025-02-28 18:06:00,Wagah border - Agricultural zone,35,31.564865,74.612121,Outbound,Tip-Off,30,0,0,Turned Back,,1
133,2025-02-21 01:24:00,Mashkel desert crossing,36,27.831097,63.0077,Inbound,Tip-Off,2,0,2,Apprehended,44598,4
134,2025-12-07 23:02:00,Kasur sector,35,31.161004,74.440139,Inbound,Patrol,8,1,3,Partial Capture,,2
135,2025-04-14 19:25:00,Makran coast - Pasni,39,25.295502,63.432828,Inbound,Informant,1,1,1,Apprehended,118744,1
136,2025-01-17 16:52:00,Landi Kotal area,33,34.051206,71.179379,Inbound,Patrol,5,1,5,Apprehended,26493,1
137,2025-03-05 23:36:00,Torkham vicinity - North sector,33,34.124084,71.044823,Inbound,Patrol,8,1,8,Apprehended,,3
138,2025-08-07 00:15:00,Chaman border - Western flank,34,30.865525,66.351593,Inbound,Tip-Off,30,1,30,Apprehended,78437,3
139,2025-08-14 14:01:00,Spin Boldak corridor,34,30.976229,66.519984,Inbound,Drone,3,1,1,Partial Capture,,3
140,2025-10-14 17:26:00,Khyber Pass - off-road crossing,33,34.080295,71.029981,Inbound,Other,2,1,0,Escaped,,3
141,2025-11-03 21:12:00,Landi Kotal area,33,34.133194,71.128742,Outbound,Drone,5,1,0,Turned Back,4332,3
142,2025-02-24 12:18:00,Chaman border - Main sector,34,30.882965,66.497662,Inbound,Patrol,8,1,0,Turned Back,,1
143,2025-01-01 18:31:00,Khyber Pass - off-road crossing,33,34.071928,71.023002,Inbound,Informant,5,1,0,Turned Back,73740,3
144,2025-12-05 01:55:00,Karachi coastal - Ibrahim Hyderi,38,24.748361,67.126098,Outbound,Other,3,0,0,Turned Back,,22
145,2025-08-22 15:03:00,Makran coast - Jiwani,39,25.090345,61.703661,Inbound,Patrol,1,1,1,Apprehended,88582,1
146,2025-07-23 03:23:00,Torkham vicinity - South sector,33,34.106846,71.103845,Inbound,Informant,1,0,0,Turned Back,96022,1
147,2025-11-01 21:11:00,Torkham vicinity - South sector,33,34.078209,71.064254,Outbound,Tip-Off,2,0,2,Apprehended,19113,3
148,2025-09-24 22:14:00,Spin Boldak corridor,34,30.963932,66.498643,Inbound,Tip-Off,8,1,0,Escaped,,3
149,2025-11-23 01:59:00,Khyber Pass - off-road crossing,33,34.001546,71.083577,Outbound,Drone,1,0,1,Apprehended,143902,3
150,2025-07-17 03:13:00,Makran coast - Jiwani,39,25.072194,61.723256,Inbound,CCTV,2,1,2,Apprehended,,4
151,2025-08-25 05:56:00,Torkham vicinity - South sector,33,34.100481,71.077956,Outbound,Informant,5,1,5,Apprehended,,3
152,2025-11-25 17:00:00,Makran coast - Jiwani,39,25.09399,61.797371,Outbound,Other,5,1,0,Turned Back,137890,1
153,2025-06-26 04:57:00,Chaman border - Western flank,34,30.854853,66.39806,Outbound,Tip-Off,1,0,0,Escaped,105145,3
154,2025-11-19 06:09:00,Wagah border - Agricultural zone,35,31.640884,74.580482,Inbound,Tip-Off,2,1,1,Partial Capture,,1
155,2025-12-06 23:55:00,Karachi coastal - Ibrahim Hyderi,38,24.747628,67.167881,Inbound,Informant,8,1,0,Turned Back,12332,6
156,2025-09-06 03:24:00,Chaman border - Main sector,34,30.935982,66.499051,Inbound,Patrol,5,0,5,Apprehended,,1
157,2025-04-06 23:54:00,Torkham vicinity - North sector,33,34.040899,71.070827,Inbound,Tip-Off,8,1,0,Turned Back,,1
158,2025-12-13 14:31:00,Torkham vicinity - North sector,33,34.046582,71.068101,Inbound,CCTV,8,1,8,Apprehended,,3
159,2025-05-04 03:48:00,Chaman border - Main sector,34,30.884445,66.442005,Inbound,Tip-Off,1,0,1,Apprehended,,3
160,2025-10-03 21:13:00,Wagah border - Agricultural zone,35,31.597144,74.560231,Inbound,Patrol,30,1,24,Partial Capture,25372,1
161,2025-05-17 22:58:00,Landi Kotal area,33,34.118009,71.144915,Outbound,Patrol,5,0,5,Apprehended,,1
162,2025-12-13 23:42:00,Khunjerab Pass area,37,36.848284,75.4151,Inbound,Informant,5,1,0,Turned Back,,5
163,2025-04-13 23:49:00,Torkham vicinity - North sector,33,34.100769,71.109617,Inbound,Tip-Off,2,0,0,Escaped,11538,1
164,2025-12-03 15:50:00,Khunjerab Pass area,37,36.869747,75.456786,Inbound,Patrol,2,1,0,Turned Back,,43
165,2025-12-24 03:29:00,Torkham vicinity - North sector,33,34.116014,71.110199,Inbound,Checkpoint,1,0,1,Apprehended,28490,1
166,2025-03-24 23:00:00,Taftan border zone,36,28.882691,61.588626,Inbound,Sensor,1,1,1,Apprehended,30583,3
167,2025-08-13 21:43:00,Spin Boldak corridor,34,30.916743,66.451276,Outbound,Drone,5,1,0,Escaped,,3
168,2025-12-09 13:39:00,Taftan border zone,36,28.8918,61.554651,Outbound,Tip-Off,8,0,8,Apprehended,123375,4
169,2025-01-12 22:46:00,Makran coast - Jiwani,39,25.016192,61.791683,Outbound,Drone,1,0,1,Apprehended,41926,4
170,2025-11-06 00:22:00,Landi Kotal area,33,34.106712,71.116681,Inbound,Patrol,8,1,8,Apprehended,107091,1
171,2025-09-19 20:08:00,Torkham vicinity - North sector,33,34.087698,71.109041,Inbound,Patrol,5,0,0,Turned Back,,1
172,2025-11-03 21:29:00,Torkham vicinity - North sector,33,34.099616,71.048576,Inbound,Patrol,2,1,2,Apprehended,,3
173,2025-03-01 15:56:00,Torkham vicinity - South sector,33,34.040206,71.118322,Inbound,Other,3,0,3,Apprehended,,3
174,2025-11-08 14:10:00,Chaman border - Western flank,34,30.872007,66.411961,Outbound,Other,5,1,0,Escaped,,3
175,2025-08-10 16:40:00,Chaman border - Western flank,34,30.905691,66.396983,Inbound,Patrol,1,0,1,Apprehended,71458,3
176,2025-02-01 21:28:00,Torkham vicinity - North sector,33,34.105656,71.091339,Outbound,Patrol,3,0,3,Apprehended,,1
177,2025-10-10 02:32:00,Wagah border - Agricultural zone,35,31.566015,74.593914,Inbound,Sensor,12,1,12,Apprehended,,1
178,2025-09-08 18:32:00,Torkham vicinity - South sector,33,34.068015,71.102524,Inbound,Checkpoint,3,0,0,Escaped,,3
179,2025-11-02 22:36:00,Khyber Pass - off-road crossing,33,34.004847,71.074368,Inbound,Tip-Off,3,0,2,Partial Capture,,3
180,2025-07-14 02:47:00,Spin Boldak corridor,34,30.950428,66.540811,Outbound,Patrol,30,1,30,Apprehended,,3
181,2025-03-06 01:43:00,Mashkel desert crossing,36,27.846968,62.993499,Inbound,Drone,12,0,0,Turned Back,74879,4
182,2025-02-10 22:53:00,Chaman border - Western flank,34,30.879832,66.387989,Outbound,Patrol,2,1,0,Turned Back,50620,3
183,2025-09-14 19:05:00,Torkham vicinity - South sector,33,34.083528,71.082913,Outbound,Drone,3,0,0,Escaped,,1
184,2025-02-05 19:06:00,Makran coast - Jiwani,39,25.028228,61.738339,Inbound,Informant,1,1,1,Partial Capture,,1
185,2025-02-22 17:07:00,Khyber Pass - off-road crossing,33,34.062193,71.076647,Outbound,Informant,1,0,0,Turned Back,81614,3
186,2025-05-20 01:42:00,Chaman border - Main sector,34,30.886215,66.412252,Inbound,Drone,5,0,0,Turned Back,,1
187,2025-12-20 20:16:00,Spin Boldak corridor,34,30.903302,66.462535,Inbound,CCTV,2,0,0,Escaped,,3
188,2025-12-24 03:50:00,Chaman border - Western flank,34,30.865533,66.415179,Outbound,Patrol,3,0,2,Partial Capture,,3
189,2025-07-27 21:35:00,Chaman border - Main sector,34,30.908701,66.467473,Inbound,Patrol,1,0,1,Apprehended,,3
190,2025-12-23 08:56:00,Makran coast - Jiwani,39,25.087511,61.726351,Inbound,Drone,5,0,5,Apprehended,,3
191,2025-09-17 06:20:00,Torkham vicinity - South sector,33,34.082657,71.116117,Outbound,Informant,8,1,8,Apprehended,,1
192,2025-02-12 22:40:00,Chaman border - Main sector,34,30.958456,66.461833,Inbound,Checkpoint,3,1,3,Apprehended,,3
193,2025-12-27 00:01:00,Chaman border - Main sector,34,30.957024,66.504008,Inbound,Patrol,5,0,5,Apprehended,19104,1
194,2025-04-13 15:16:00,Torkham vicinity - North sector,33,34.053157,71.074947,Outbound,Sensor,8,1,2,Partial Capture,112241,3
195,2025-01-05 00:57:00,Taftan border zone,36,28.907972,61.569228,Inbound,Informant,12,1,0,Escaped,,3
196,2025-07-05 22:56:00,Mashkel desert crossing,36,27.786208,63.047974,Inbound,Sensor,3,0,0,Turned Back,7520,3
197,2025-10-19 15:50:00,Chaman border - Western flank,34,30.838543,66.426564,Inbound,Tip-Off,2,1,2,Apprehended,93213,3
198,2025-01-11 10:48:00,Taftan border zone,36,28.876907,61.590871,Outbound,Patrol,5,1,5,Apprehended,,3
199,2025-03-08 18:34:00,Torkham vicinity - North sector,33,34.046799,71.115627,Inbound,Other,12,1,12,Apprehended,104037,3
200,2025-06-27 18:56:00,Karachi coastal - Ibrahim Hyderi,38,24.751697,67.176314,Inbound,Informant,2,1,0,Escaped,,22
201,2025-01-06 00:10:00,Taftan border zone,36,28.890683,61.570693,Inbound,Patrol,12,1,12,Apprehended,,1
202,2025-01-12 18:43:00,Chaman border - Main sector,34,30.946468,66.441682,Outbound,Patrol,2,1,1,Partial Capture,,1
203,2025-03-25 03:32:00,Torkham vicinity - North sector,33,34.103279,71.032997,Inbound,Tip-Off,1,1,0,Turned Back,,3
204,2025-04-17 22:37:00,Makran coast - Pasni,39,25.261885,63.446067,Outbound,Informant,3,1,3,Apprehended,37893,21
205,2025-10-28 03:57:00,Khyber Pass - off-road crossing,33,34.0819,71.072383,Inbound,Tip-Off,5,1,5,Apprehended,111561,3
206,2025-11-01 22:54:00,Makran coast - Jiwani,39,25.047606,61.774869,Outbound,Tip-Off,5,0,0,Escaped,,1
207,2025-11-28 00:33:00,Chaman border - Main sector,34,30.962061,66.493463,Inbound,Other,2,0,0,Turned Back,,1
208,2025-07-09 16:16:00,Spin Boldak corridor,34,30.912215,66.468482,Outbound,Patrol,5,1,2,Partial Capture,,3
209,2025-10-07 23:45:00,Spin Boldak corridor,34,30.957189,66.496438,Inbound,Sensor,8,0,8,Apprehended,,3
210,2025-11-12 00:31:00,Torkham vicinity - North sector,33,34.084693,71.114968,Outbound,Sensor,5,1,0,Turned Back,30110,1
211,2025-09-16 04:30:00,Makran coast - Jiwani,39,25.069119,61.726856,Inbound,Drone,8,0,8,Apprehended,,4
212,2025-04-17 21:45:00,Makran coast - Pasni,39,25.211383,63.441531,Inbound,Patrol,3,0,3,Apprehended,,1
213,2025-08-20 20:18:00,Khunjerab Pass area,37,36.852448,75.371357,Inbound,Patrol,2,0,0,Turned Back,79008,43
