claim_id,traveler_id,filing_date,claim_basis,origin_country_id,status,decision_date,assigned_officer,dependents_count
120,108393,2025-10-01,War,18,Under Review,,Shazia Bukhari,0
121,34675,2025-03-26,Persecution,3,Filed,,Waqas Sethi,2
122,120935,2025-10-26,Religious,19,Under Review,,Samina Syed,0
123,139278,2025-05-20,War,42,Approved,2025-07-29,Zafar Akhtar,4
124,52118,2025-02-16,War,3,Filed,,Samina Chaudhry,2
125,15578,2025-12-14,Persecution,3,Under Review,,Zafar Lodhi,1
126,84620,2025-07-13,War,1,Denied,2025-09-03,Shazia Syed,0
127,85207,2025-07-02,Persecution,1,Appealed,2025-11-19,Zafar Chaudhry,0
128,46150,2025-01-18,Political,3,Under Review,,Kamran Sethi,2
129,7228,2025-08-28,Religious,1,Interview Scheduled,,Bilal Chaudhry,3
130,54500,2025-02-15,Gender-Based,5,Withdrawn,2025-07-17,Naveed Chaudhry,2
131,131942,2025-07-03,War,16,Filed,,Lubna Lodhi,2
132,50253,2025-01-11,Ethnic,3,Under Review,,Kamran Lodhi,1
133,41060,2025-08-02,Persecution,16,Denied,2025-12-30,Lubna Sethi,0
134,117335,2025-10-06,Persecution,3,Interview Scheduled,,Saima Akhtar,0
135,142611,2025-07-26,War,3,Appealed,2025-12-29,Irfan Akhtar,1
136,4864,2025-01-15,War,3,Appealed,2025-06-02,Lubna Chaudhry,1
137,90784,2025-03-18,Persecution,3,Filed,,Tahira Paracha,0
138,100511,2025-06-19,Political,3,Filed,,Asad Sethi,0
139,34503,2025-10-18,Ethnic,22,Under Review,,Asad Chaudhry,2
140,145606,2025-04-10,Political,16,Under Review,,Tahira Sethi,2
141,57073,2025-01-01,War,41,Approved,2025-06-05,Waqas Gondal,2
142,104028,2025-01-06,Ethnic,3,Filed,,Nadia Lodhi,2
143,117509,2025-06-14,War,19,Denied,2025-11-30,Asad Chaudhry,4
144,111760,2025-02-24,War,16,Denied,2025-06-14,Waqas Sethi,3
145,25743,2025-04-08,Ethnic,3,Filed,,Uzma Syed,0
146,116550,2025-10-10,Gender-Based,3,Filed,,Hina Akhtar,0
147,137419,2025-11-01,Political,1,Under Review,,Tahira Akhtar,0
148,96234,2025-03-16,Persecution,3,Withdrawn,2025-06-04,Naveed Chaudhry,1
149,25714,2025-10-11,Gender-Based,1,Approved,2025-12-10,Bilal Sethi,0
150,142441,2025-04-23,Gender-Based,42,Approved,2025-10-04,Naveed Paracha,2
151,61957,2025-12-21,Religious,17,Under Review,,Nadia Bukhari,4
152,68228,2025-11-10,Gender-Based,18,Filed,,Saima Riaz,5
153,120545,2025-11-09,Persecution,21,Under Review,,Hina Bukhari,0
154,117002,2025-01-07,War,3,Filed,,Amjad Sethi,1
155,41476,2025-04-11,War,16,Approved,2025-06-28,Waqas Riaz,2
156,42919,2025-05-09,War,41,Interview Scheduled,,Fahad Akhtar,1
157,35147,2025-06-22,Persecution,22,Denied,2025-11-05,Zafar Paracha,0
158,85252,2025-07-16,Religious,3,Appealed,2025-12-08,Kamran Syed,1
159,137155,2025-08-28,Religious,3,Filed,,Shazia Paracha,5
160,7538,2025-01-28,War,3,Withdrawn,2025-05-24,Hina Akhtar,0
161,84737,2025-07-20,Ethnic,17,Denied,2025-11-13,Lubna Gondal,3
162,129048,2025-03-17,Religious,3,Approved,2025-04-27,Nadia Sethi,1
163,74141,2025-11-11,Political,3,Under Review,,Tariq Mahmood,0
164,129886,2025-08-25,Political,3,Under Review,,Tahira Akhtar,1
165,65797,2025-11-28,War,16,Under Review,,Naveed Lodhi,5
166,55966,2025-10-13,War,3,Under Review,,Sobia Lodhi,2
167,50259,2025-04-18,War,3,Denied,2025-09-08,Rashid Gondal,1
168,104599,2025-11-11,Political,42,Under Review,,Samina Gondal,2
169,67167,2025-11-23,Political,18,Filed,,Nadia Riaz,2
170,2638,2025-08-05,Gender-Based,48,Filed,,Uzma Syed,1
171,27738,2025-09-19,Political,3,Filed,,Lubna Riaz,2
172,139787,2025-05-09,War,3,Approved,2025-11-04,Tahira Mahmood,1
173,81755,2025-02-09,Political,3,Approved,2025-07-14,Irfan Akhtar,0
174,113113,2025-06-12,Religious,3,Under Review,,Asad Mahmood,1
175,19391,2025-06-12,War,23,Denied,2025-09-19,Nadia Riaz,2
176,13267,2025-06-15,Persecution,16,Approved,2025-10-29,Kamran Syed,0
177,21569,2025-03-05,Political,16,Denied,2025-07-05,Zafar Syed,2
178,91184,2025-03-20,Persecution,2,Approved,2025-08-19,Naveed Paracha,5
179,13602,2025-09-28,Ethnic,17,Appealed,2025-12-19,Bilal Akhtar,0
180,130031,2025-04-28,Political,3,Filed,,Nadia Chaudhry,1
181,127780,2025-11-25,War,41,Filed,,Fahad Akhtar,1
182,68657,2025-10-07,Ethnic,18,Under Review,,Asad Lodhi,6
183,41432,2025-12-11,Persecution,22,Under Review,,Samina Gondal,2
184,22411,2025-09-25,War,3,Filed,,Uzma Gondal,4
185,126143,2025-07-28,Political,16,Under Review,,Kamran Bukhari,2
186,77502,2025-05-16,Political,3,Denied,2025-10-17,Kamran Gondal,0
187,95226,2025-03-09,Ethnic,22,Approved,2025-06-13,Amjad Syed,0
188,40449,2025-09-18,Ethnic,18,Withdrawn,2025-11-09,Nadia Bukhari,2
189,105660,2025-10-11,War,3,Approved,2025-12-30,Saima Mahmood,2
190,143701,2025-05-23,Political,3,Denied,2025-10-21,Hina Gondal,0
191,20413,2025-02-06,Persecution,3,Approved,2025-07-13,Tahira Mahmood,0
192,101900,2025-01-09,Religious,3,Under Review,,Naveed Akhtar,1
193,29290,2025-08-05,Persecution,22,Under Review,,Asad Lodhi,1
194,87222,2025-05-27,Persecution,1,Denied,2025-11-17,Hina Paracha,0
195,73814,2025-10-20,Religious,3,Under Review,,Tariq Chaudhry,0
196,135826,2025-05-26,War,3,Denied,2025-08-10,Saima Paracha,1
197,131305,2025-02-26,War,3,Under Review,,Nadia Syed,2
198,40784,2025-09-07,War,3,Interview Scheduled,,Bilal Mahmood,0
199,114392,2025-08-20,Ethnic,3,Under Review,,Fahad Mahmood,0
200,95198,2025-01-02,War,16,Withdrawn,2025-03-13,Sobia Syed,3
201,104133,2025-06-02,Gender-Based,18,Approved,2025-09-08,Uzma Chaudhry,1
202,105316,2025-08-27,Political,3,Under Review,,Bilal Riaz,4
203,124210,2025-05-27,War,3,Under Review,,Shazia Mahmood,1
204,62071,2025-12-03,Persecution,3,Under Review,,Waqas Bukhari,2
205,11734,2025-04-11,Religious,20,Filed,,Uzma Riaz,0
206,110242,2025-07-13,War,16,Approved,2025-09-23,Shazia Riaz,2
207,14163,2025-10-12,Political,3,Interview Scheduled,,Sobia Paracha,2
208,66964,2025-06-05,Political,3,Filed,,Asad Chaudhry,4
209,20907,2025-03-02,Political,3,Approved,2025-07-16,Shazia Akhtar,0
210,115331,2025-02-01,Political,3,Interview Scheduled,,Zafar Riaz,4
211,61347,2025-10-14,War,3,Under Review,,Asad Riaz,0
212,4315,2025-08-10,Persecution,3,Filed,,Kamran Sethi,1
213,17766,2025-04-01,Gender-Based,3,Denied,2025-05-11,Fahad Chaudhry,1
214,18927,2025-12-18,Political,3,Under Review,,Bilal Syed,2
215,118041,2025-03-02,War,3,Denied,2025-04-30,Sobia Riaz,1
216,80960,2025-07-02,Gender-Based,16,Filed,,Amjad Riaz,1
217,9841,2025-10-04,Persecution,16,Under Review,,Naveed Paracha,2
218,118787,2025-09-12,Political,2,Approved,2025-10-23,Irfan Chaudhry,0
219,18810,2025-06-16,War,19,Under Review,,Kamran Chaudhry,0
220,32158,2025-09-28,War,3,Approved,2025-12-26,Hina Sethi,0
221,80664,2025-09-05,Persecution,3,Approved,2025-12-09,Sobia Sethi,1
222,104300,2025-10-15,Political,3,Approved,2025-12-12,Uzma Paracha,0
223,13152,2025-03-26,War,3,Appealed,2025-09-20,Tariq Mahmood,6
224,4989,2025-03-24,War,16,Appealed,2025-07-23,Fahad Sethi,1
225,66286,2025-01-14,Other,3,Appealed,2025-05-12,Bilal Gondal,2
226,136422,2025-10-05,War,16,Interview Scheduled,,Uzma Lodhi,3
227,41396,2025-03-21,Religious,3,Withdrawn,2025-05-03,Zafar Syed,0
228,41632,2025-04-26,War,16,Under Review,,Asad Gondal,0
229,54459,2025-10-06,Persecution,3,Under Review,,Kamran Chaudhry,0
230,96243,2025-03-05,Ethnic,3,Approved,2025-08-15,Kamran Akhtar,1
231,122901,2025-12-22,Religious,3,Under Review,,Nadia Akhtar,4
232,84046,2025-11-17,Ethnic,16,Under Review,,Bilal Akhtar,3
233,62117,2025-09-09,War,18,Under Review,,Amjad Bukhari,0
234,55542,2025-08-23,Religious,1,Filed,,Fahad Paracha,3
235,18660,2025-05-05,Political,3,Filed,,Shazia Syed,1
236,133512,2025-08-27,Ethnic,3,Denied,2025-12-13,Asad Gondal,2
237,40738,2025-07-02,War,42,Denied,2025-11-21,Zafar Chaudhry,0
238,64330,2025-05-14,War,42,Approved,2025-07-03,Asad Bukhari,4
239,116964,2025-07-10,Political,3,Appealed,2025-09-13,Shazia Sethi,3
240,20968,2025-06-19,Ethnic,17,Withdrawn,2025-09-15,Kamran Gondal,2
241,120778,2025-03-26,War,23,Appealed,2025-08-01,Lubna Bukhari,0
242,59388,2025-01-04,Persecution,1,Interview Scheduled,,Bilal Paracha,0
243,142714,2025-07-11,War,3,Denied,2025-12-01,Tahira Syed,0
244,56970,2025-11-17,War,19,Under Review,,Zafar Riaz,0
245,23772,2025-05-23,Persecution,16,Under Review,,Irfan Paracha,2
246,48827,2025-09-06,Persecution,1,Approved,2025-10-31,Zafar Lodhi,1
247,126633,2025-10-18,Religious,48,Interview Scheduled,,Saima Riaz,0
248,41219,2025-06-25,Ethnic,3,Under Review,,Lubna Bukhari,0
249,24865,2025-09-08,Political,19,Withdrawn,2025-11-30,Amjad Gondal,1
250,27233,2025-10-04,Persecution,18,Approved,2025-11-20,Samina Chaudhry,1
251,143347,2025-11-26,War,3,Under Review,,Lubna Sethi,3
252,15792,2025-06-21,Gender-Based,2,Appealed,2025-07-22,Naveed Mahmood,4
253,129922,2025-03-27,Persecution,16,Under Review,,Nadia Lodhi,0
254,36851,2025-11-06,Religious,17,Under Review,,Asad Mahmood,6
255,94344,2025-05-24,Gender-Based,3,Under Review,,Hina Gondal,2
256,96084,2025-09-15,Persecution,3,Under Review,,Waqas Riaz,5
257,63452,2025-10-20,War,3,Under Review,,Fahad Riaz,4
258,99433,2025-07-22,Ethnic,18,Approved,2025-11-19,Saima Lodhi,2
259,118150,2025-02-02,Political,18,Denied,2025-07-22,Zafar Akhtar,2
260,32444,2025-11-27,Religious,28,Interview Scheduled,,Tahira Riaz,0
261,134778,2025-12-03,War,1,Under Review,,Nadia Syed,0
262,61416,2025-04-20,Political,3,Appealed,2025-07-19,Kamran Sethi,5
263,128213,2025-12-22,Religious,48,Under Review,,Bilal Riaz,3
264,82912,2025-12-12,War,3,Under Review,,Waqas Bukhari,0
265,133696,2025-08-27,Religious,17,Denied,2025-12-18,Saima Chaudhry,1
266,100363,2025-06-20,War,3,Denied,2025-10-19,Tariq Chaudhry,0
267,84333,2025-03-05,Persecution,3,Approved,2025-06-17,Hina Paracha,4
268,133634,2025-11-20,Political,16,Under Review,,Nadia Paracha,1
269,10155,2025-11-21,Political,3,Under Review,,Rashid Paracha,0
270,132746,2025-01-04,Religious,17,Interview Scheduled,,Waqas Chaudhry,3
271,64581,2025-05-21,War,22,Approved,2025-07-27,Sobia Akhtar,2
272,57045,2025-10-26,Ethnic,3,Under Review,,Samina Bukhari,0
273,14586,2025-07-22,War,16,Under Review,,Hina Riaz,0
274,45982,2025-03-11,Persecution,18,Under Review,,Naveed Mahmood,0
275,93121,2025-03-17,Religious,16,Under Review,,Irfan Bukhari,5
276,75198,2025-01-06,War,22,Approved,2025-02-20,Irfan Riaz,1
277,143007,2025-05-20,War,3,Appealed,2025-10-21,Tariq Riaz,2
278,74488,2025-06-04,War,3,Withdrawn,2025-07-19,Fahad Bukhari,5
279,44154,2025-03-07,Political,3,Filed,,Uzma Paracha,5
280,3676,2025-09-20,Political,42,Filed,,Saima Gondal,2
281,125306,2025-08-01,War,3,Under Review,,Zafar Bukhari,2
282,123392,2025-05-25,War,16,Approved,2025-11-12,Nadia Akhtar,1
283,142534,2025-07-25,Persecution,3,Appealed,2025-09-17,Zafar Sethi,1
284,127072,2025-01-16,Religious,16,Interview Scheduled,,Samina Mahmood,2
285,71626,2025-04-14,Ethnic,19,Denied,2025-06-07,Saima Chaudhry,1
286,110274,2025-12-18,Political,3,Under Review,,Samina Mahmood,0
287,147916,2025-10-15,War,17,Interview Scheduled,,Kamran Bukhari,0
288,129773,2025-02-28,Ethnic,17,Under Review,,Hina Bukhari,2
289,85151,2025-11-21,Persecution,3,Under Review,,Saima Paracha,1
290,57209,2025-04-12,Other,3,Approved,2025-08-20,Zafar Riaz,0
291,139637,2025-08-02,Persecution,3,Under Review,,Kamran Bukhari,2
292,97269,2025-04-22,War,3,Under Review,,Tariq Bukhari,1
293,148220,2025-02-03,Political,17,Withdrawn,2025-03-22,Amjad Akhtar,0
294,83420,2025-02-03,Persecution,19,Approved,2025-05-08,Nadia Mahmood,1
295,21837,2025-07-26,Religious,22,Under Review,,Kamran Akhtar,0
296,63980,2025-03-25,Persecution,3,Under Review,,Fahad Syed,0
297,21922,2025-05-17,Political,48,Withdrawn,2025-09-30,Hina Riaz,1
298,104175,2025-11-01,Religious,16,Under Review,,Naveed Paracha,2
299,45311,2025-07-23,Religious,4,Appealed,2025-12-29,Hina Gondal,1
300,37706,2025-06-06,War,3,Interview Scheduled,,Samina Gondal,2
301,70119,2025-09-13,Persecution,22,Filed,,Naveed Mahmood,0
302,42885,2025-03-12,Persecution,3,Interview Scheduled,,Rashid Chaudhry,2
303,113028,2025-03-19,Other,3,Approved,2025-07-08,Bilal Riaz,0
304,108851,2025-08-25,War,16,Filed,,Rashid Akhtar,2
305,14051,2025-05-07,Political,2,Approved,2025-10-25,Shazia Mahmood,1
306,35966,2025-06-21,Persecution,22,Appealed,2025-08-17,Zafar Lodhi,4
307,32843,2025-11-13,Persecution,3,Under Review,,Sobia Akhtar,2
308,75940,2025-01-04,Political,3,Approved,2025-06-05,Saima Bukhari,0
309,134142,2025-09-22,Religious,19,Approved,2025-11-24,Rashid Riaz,2
310,143369,2025-03-12,Persecution,1,Approved,2025-07-22,Lubna Sethi,0
311,38413,2025-01-27,Gender-Based,3,Approved,2025-07-04,Samina Paracha,2
312,83748,2025-03-28,Ethnic,1,Approved,2025-09-23,Saima Mahmood,2
313,58447,2025-12-18,War,2,Under Review,,Hina Chaudhry,5
314,83348,2025-01-13,Persecution,3,Filed,,Sobia Bukhari,5
315,138305,2025-09-18,War,3,Under Review,,Uzma Paracha,3
316,88692,2025-11-07,Gender-Based,3,Under Review,,Zafar Sethi,2
317,142768,2025-08-04,Persecution,3,Under Review,,Amjad Mahmood,0
318,58744,2025-07-28,Ethnic,48,Denied,2025-09-16,Rashid Paracha,4
319,5303,2025-07-17,War,16,Withdrawn,2025-11-18,Amjad Sethi,0
320,53643,2025-11-24,War,3,Under Review,,Zafar Mahmood,2
321,64770,2025-03-02,Religious,22,Denied,2025-06-15,Sobia Syed,0
322,55559,2025-02-21,War,17,Approved,2025-05-22,Nadia Chaudhry,3
323,107008,2025-12-17,Persecution,22,Interview Scheduled,,Samina Lodhi,0
324,52506,2025-05-21,Persecution,1,Approved,2025-07-03,Rashid Gondal,1
325,19587,2025-02-19,Persecution,1,Under Review,,Rashid Bukhari,0
326,70478,2025-05-11,War,3,Approved,2025-06-14,Fahad Chaudhry,1
327,71989,2025-11-22,War,17,Under Review,,Tariq Gondal,1
328,134228,2025-07-16,Ethnic,18,Denied,2025-11-17,Amjad Sethi,2
329,53359,2025-06-02,Political,3,Approved,2025-10-11,Asad Paracha,0
330,115711,2025-12-28,Persecution,17,Under Review,,Asad Akhtar,2
331,35749,2025-12-23,Gender-Based,3,Under Review,,Asad Paracha,0
332,56867,2025-08-11,Gender-Based,3,Under Review,,Bilal Mahmood,0
333,107481,2025-09-15,Political,23,Under Review,,Tahira Bukhari,0
334,81262,2025-11-17,Political,3,Appealed,2025-12-17,Naveed Mahmood,3
335,123710,2025-05-23,Religious,3,Approved,2025-10-26,Samina Bukhari,1
336,125345,2025-03-06,Political,17,Denied,2025-05-27,Naveed Sethi,0
337,146275,2025-08-26,Political,3,Approved,2025-11-13,Samina Gondal,3
338,112589,2025-08-13,War,3,Interview Scheduled,,Shazia Mahmood,0
339,108811,2025-09-23,Religious,17,Under Review,,Irfan Lodhi,2
340,91339,2025-09-14,Other,41,Under Review,,Uzma Gondal,0
341,84458,2025-04-05,Political,3,Under Review,,Irfan Sethi,0
342,71729,2025-06-21,Ethnic,18,Under Review,,Asad Lodhi,1
343,46131,2025-07-17,Ethnic,17,Under Review,,Uzma Mahmood,2
344,149923,2025-02-06,Ethnic,26,Approved,2025-08-01,Tariq Lodhi,2
345,19202,2025-12-21,Persecution,19,Under Review,,Naveed Syed,1
346,140868,2025-06-17,Religious,3,Withdrawn,2025-08-31,Asad Chaudhry,0
347,143099,2025-10-28,War,17,Under Review,,Naveed Sethi,0
348,143017,2025-05-11,Political,3,Interview Scheduled,,Fahad Gondal,2
349,63566,2025-10-06,War,1,Under Review,,Rashid Lodhi,0
350,84013,2025-05-02,War,3,Approved,2025-06-24,Tariq Riaz,1
351,77968,2025-03-08,Political,3,Interview Scheduled,,Tariq Mahmood,0
352,54509,2025-01-09,Persecution,3,Approved,2025-02-27,Zafar Sethi,1
353,149074,2025-10-16,War,3,Under Review,,Hina Akhtar,5
354,102107,2025-02-09,War,16,Approved,2025-06-29,Amjad Gondal,0
355,15032,2025-01-08,War,3,Approved,2025-04-26,Samina Akhtar,2
356,106178,2025-09-27,War,3,Under Review,,Shazia Chaudhry,1
357,141963,2025-04-05,War,3,Appealed,2025-05-17,Waqas Gondal,2
358,49877,2025-08-19,Other,16,Under Review,,Bilal Akhtar,3
359,97489,2025-10-26,Political,41,Under Review,,Zafar Chaudhry,4
360,39988,2025-10-24,Political,48,Filed,,Fahad Chaudhry,0
361,45922,2025-12-11,War,3,Under Review,,Asad Syed,1
362,98258,2025-11-18,War,16,Under Review,,Sobia Akhtar,1
363,114481,2025-05-23,Gender-Based,1,Appealed,2025-10-15,Hina Chaudhry,3
364,148282,2025-08-02,Persecution,18,Filed,,Waqas Syed,2
365,1580,2025-06-24,Ethnic,3,Approved,2025-08-22,Hina Sethi,1
366,31440,2025-06-21,Religious,17,Interview Scheduled,,Shazia Gondal,1
367,25566,2025-05-27,War,16,Approved,2025-11-14,Nadia Sethi,2
368,116711,2025-02-03,Persecution,3,Interview Scheduled,,Fahad Akhtar,4
