detention_id,traveler_id,facility_name,facility_country_id,intake_date,release_date,reason,removal_order_id,status
99,25007,"UNHCR Transit Centre, Peshawar",1,2025-07-02,2025-07-16,Document verification,,Deported
100,24847,"Balochistan Repatriation Centre, Quetta",1,2025-03-14,2025-03-21,Awaiting removal order,5722,Transferred
101,132952,"Immigration Holding Facility, Jinnah Airport",1,2025-06-13,2025-08-12,Criminal investigation,,Transferred
102,41990,"UNHCR Transit Centre, Peshawar",1,2025-07-02,2025-07-05,Security screening,8120,Released
103,70054,"UNHCR Transit Centre, Peshawar",1,2025-11-03,2025-11-17,Border apprehension,,Released
104,127810,"Foreigners Registration Centre, Peshawar",1,2025-05-14,2025-06-13,Pending deportation,,Deported
105,103813,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-11-25,2025-12-25,Security screening,9792,Deported
106,94883,Chaman Border Detention Facility,1,2025-02-23,2025-03-02,Unauthorized entry,,Deported
107,115025,"Immigration Holding Facility, Islamabad Airport",1,2025-04-12,2025-04-26,Pending deportation,9950,Deported
108,4674,"FIA Detention Centre, Islamabad",1,2025-10-18,,Awaiting removal order,,Active
109,16027,"Foreigners Registration Centre, Peshawar",1,2025-09-17,2025-09-20,Awaiting removal order,4472,Transferred
110,15217,"Immigration Holding Facility, Jinnah Airport",1,2025-07-26,2025-07-27,Awaiting removal order,7414,Released
111,855,"UNHCR Transit Centre, Peshawar",1,2025-01-11,2025-04-11,Pending deportation,14659,Released
112,129183,"FIA Detention Centre, Lahore",1,2025-02-08,2025-02-11,Unauthorized entry,,Deported
113,88559,Torkham Border Detention Facility,1,2025-05-20,2025-06-19,Awaiting removal order,2055,Released
114,88470,"Foreigners Registration Centre, Peshawar",1,2025-10-03,,Pending deportation,,Active
115,63980,Torkham Border Detention Facility,1,2025-05-15,2025-07-14,Security screening,332,Released
116,96307,Torkham Border Detention Facility,1,2025-10-06,2025-10-20,Awaiting removal order,8377,Transferred
117,32814,Torkham Border Detention Facility,1,2025-12-14,2025-12-17,Unauthorized entry,,Released
118,99456,"Foreigners Registration Centre, Peshawar",1,2025-12-06,2025-12-13,Awaiting removal order,,Deported
119,133054,"FIA Detention Centre, Karachi",1,2025-12-14,2025-12-21,Pending deportation,3815,Deported
120,66082,"UNHCR Transit Centre, Peshawar",1,2025-06-20,2025-06-27,Border apprehension,,Deported
121,102056,"UNHCR Transit Centre, Peshawar",1,2025-07-24,2025-08-23,Pending deportation,13036,Deported
122,35728,"FIA Detention Centre, Islamabad",1,2025-07-15,2025-07-22,Security screening,,Deported
123,109228,"Transit Holding Centre, Quetta",1,2025-01-06,2025-03-07,Awaiting removal order,,Deported
124,134699,Torkham Border Detention Facility,1,2025-12-26,,Identity verification,,Active
125,122415,Chaman Border Detention Facility,1,2025-11-02,2025-11-16,Security screening,10115,Transferred
126,117596,"UNHCR Transit Centre, Peshawar",1,2025-11-08,2025-12-08,Pending deportation,14753,Transferred
127,20148,"Immigration Holding Facility, Islamabad Airport",1,2025-04-21,2025-06-20,Pending deportation,8906,Released
128,81787,"Balochistan Repatriation Centre, Quetta",1,2025-05-12,2025-08-10,Identity verification,,Transferred
129,18593,Chaman Border Detention Facility,1,2025-05-02,2025-05-09,Pending deportation,10234,Released
130,14892,Torkham Border Detention Facility,1,2025-09-12,,Security screening,,Active
131,92829,"Foreigners Registration Centre, Peshawar",1,2025-10-03,2025-11-02,Security screening,10389,Released
132,136876,Torkham Border Detention Facility,1,2025-09-24,,Awaiting removal order,6175,Active
133,71555,"Immigration Holding Facility, Islamabad Airport",1,2025-02-12,2025-02-19,Awaiting removal order,9449,Deported
134,139244,"Foreigners Registration Centre, Peshawar",1,2025-09-11,2025-09-12,Pending deportation,5481,Released
135,26777,"Immigration Holding Facility, Jinnah Airport",1,2025-05-22,2025-05-29,Trafficking investigation,,Deported
136,65519,"Transit Holding Centre, Quetta",1,2025-02-03,2025-02-06,Awaiting removal order,6877,Deported
137,69032,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-10-04,2025-10-05,Pending deportation,12597,Deported
138,92820,Chaman Border Detention Facility,1,2025-07-16,2025-07-23,Pending deportation,10300,Transferred
139,112091,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-03-11,2025-03-18,Pending deportation,347,Deported
140,116744,"Foreigners Registration Centre, Peshawar",1,2025-03-22,2025-04-05,Pending deportation,423,Released
141,1670,"Immigration Holding Facility, Islamabad Airport",1,2025-11-20,2025-12-20,Security screening,9022,Transferred
142,121356,"UNHCR Transit Centre, Peshawar",1,2025-08-24,2025-10-23,Security screening,12075,Deported
143,46653,"FIA Detention Centre, Islamabad",1,2025-08-20,2025-09-19,Awaiting removal order,,Released
144,25430,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-03-05,2025-04-04,Awaiting removal order,3185,Deported
145,149040,"Immigration Holding Facility, Islamabad Airport",1,2025-04-25,2025-05-09,Awaiting removal order,2039,Deported
146,80980,"Immigration Holding Facility, Islamabad Airport",1,2025-07-05,2025-07-12,Unauthorized entry,,Deported
147,53712,"Transit Holding Centre, Quetta",1,2025-02-17,2025-02-24,Pending deportation,12396,Deported
148,64538,"Balochistan Repatriation Centre, Quetta",1,2025-08-14,2025-08-17,Security screening,3322,Transferred
149,138618,Torkham Border Detention Facility,1,2025-08-22,2025-08-23,Security screening,1075,Deported
150,145546,Torkham Border Detention Facility,1,2025-07-08,2025-08-07,Unauthorized entry,,Deported
151,75172,"Foreigners Registration Centre, Peshawar",1,2025-03-01,2025-03-04,Pending deportation,432,Transferred
152,69325,"Transit Holding Centre, Quetta",1,2025-01-07,,Asylum processing,,Active
153,55672,"FIA Detention Centre, Islamabad",1,2025-04-15,,Asylum processing,,Active
154,144169,Torkham Border Detention Facility,1,2025-01-11,2025-01-18,Awaiting removal order,3851,Deported
155,130619,"Immigration Holding Facility, Islamabad Airport",1,2025-07-07,2025-07-10,Awaiting removal order,7075,Released
156,81986,"FIA Detention Centre, Lahore",1,2025-08-12,2025-09-11,Awaiting removal order,5830,Released
157,106648,"Balochistan Repatriation Centre, Quetta",1,2025-12-17,,Awaiting removal order,7247,Active
158,70750,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-08-16,2025-10-15,Awaiting removal order,3752,Released
159,134182,"Immigration Holding Facility, Islamabad Airport",1,2025-06-10,2025-06-17,Security screening,14278,Deported
160,35640,"Transit Holding Centre, Quetta",1,2025-07-21,2025-08-04,Pending deportation,3996,Released
161,125432,"FIA Detention Centre, Islamabad",1,2025-08-06,2025-08-13,Pending deportation,4685,Released
162,63917,"Immigration Holding Facility, Jinnah Airport",1,2025-11-10,,Pending deportation,9735,Active
163,8190,"FIA Detention Centre, Islamabad",1,2025-01-27,2025-02-03,Trafficking investigation,,Released
164,93676,"Foreigners Registration Centre, Peshawar",1,2025-08-05,2025-08-19,Awaiting removal order,,Deported
165,13339,Chaman Border Detention Facility,1,2025-12-16,2025-12-23,Security screening,13586,Transferred
166,69508,Torkham Border Detention Facility,1,2025-04-14,2025-04-28,Pending deportation,10972,Transferred
167,98132,Chaman Border Detention Facility,1,2025-04-08,2025-04-15,Security screening,4479,Released
168,81313,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-03-19,2025-03-22,Security screening,8540,Deported
169,138286,"FIA Detention Centre, Karachi",1,2025-07-14,,Pending deportation,9234,Active
170,107222,Torkham Border Detention Facility,1,2025-10-05,,Pending deportation,13257,Active
171,125716,"Balochistan Repatriation Centre, Quetta",1,2025-06-28,2025-09-26,Awaiting removal order,4161,Deported
172,119781,Torkham Border Detention Facility,1,2025-11-03,2025-11-17,Border apprehension,,Deported
173,76136,Chaman Border Detention Facility,1,2025-05-06,,Pending deportation,12632,Active
174,119279,Torkham Border Detention Facility,1,2025-07-17,2025-08-16,Pending deportation,1488,Transferred
175,85445,"Transit Holding Centre, Quetta",1,2025-03-11,2025-04-10,Security screening,502,Deported
176,16773,"UNHCR Transit Centre, Peshawar",1,2025-01-10,2025-02-09,Awaiting removal order,1324,Transferred
177,73157,"Balochistan Repatriation Centre, Quetta",1,2025-05-08,2025-05-11,Pending deportation,5512,Released
178,93366,"Balochistan Repatriation Centre, Quetta",1,2025-06-08,2025-06-15,Pending deportation,3902,Released
179,3041,"Immigration Holding Facility, Jinnah Airport",1,2025-04-12,2025-04-26,Security screening,4626,Transferred
180,70523,"Balochistan Repatriation Centre, Quetta",1,2025-01-18,2025-01-25,Asylum processing,,Transferred
181,141247,"UNHCR Transit Centre, Peshawar",1,2025-05-28,2025-06-04,Security screening,2814,Deported
182,139375,"Transit Holding Centre, Quetta",1,2025-09-10,2025-09-24,Unauthorized entry,,Released
183,103587,"FIA Detention Centre, Karachi",1,2025-09-28,2025-10-12,Pending deportation,5315,Deported
184,122055,"FIA Detention Centre, Karachi",1,2025-06-23,2025-07-23,Pending deportation,8110,Released
185,133297,"Foreigners Registration Centre, Peshawar",1,2025-01-14,2025-01-21,Criminal investigation,,Deported
186,85384,"FIA Detention Centre, Karachi",1,2025-05-26,2025-06-09,Awaiting removal order,12000,Transferred
187,64821,"Balochistan Repatriation Centre, Quetta",1,2025-04-15,2025-04-29,Criminal investigation,,Deported
188,110906,"FIA Detention Centre, Lahore",1,2025-06-26,2025-06-29,Pending deportation,,Released
189,90849,"Transit Holding Centre, Quetta",1,2025-07-02,2025-07-03,Pending deportation,13419,Deported
190,37433,"FIA Detention Centre, Islamabad",1,2025-06-25,2025-07-02,Awaiting removal order,3180,Deported
191,124336,"Transit Holding Centre, Quetta",1,2025-05-11,,Awaiting removal order,977,Active
192,146303,"UNHCR Transit Centre, Peshawar",1,2025-04-15,2025-06-14,Pending deportation,6072,Transferred
193,78449,"Immigration Holding Facility, Islamabad Airport",1,2025-11-13,,Pending deportation,7387,Active
194,65096,"FIA Detention Centre, Karachi",1,2025-09-27,2025-10-04,Awaiting removal order,9652,Transferred
195,82397,Torkham Border Detention Facility,1,2025-04-15,2025-04-29,Pending deportation,13550,Transferred
196,90022,Chaman Border Detention Facility,1,2025-08-26,2025-10-25,Security screening,12326,Deported
197,66097,"Transit Holding Centre, Quetta",1,2025-09-18,2025-09-21,Security screening,7586,Deported
198,100514,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-07-07,2025-08-06,Security screening,1156,Released
199,34227,"Immigration Holding Facility, Islamabad Airport",1,2025-12-17,2025-12-24,Pending deportation,8737,Deported
200,85705,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-11-27,2025-12-11,Document verification,,Released
201,143690,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-12-15,,Awaiting removal order,8666,Active
202,60097,Torkham Border Detention Facility,1,2025-11-14,2025-11-21,Pending deportation,9411,Deported
203,9895,"UNHCR Transit Centre, Peshawar",1,2025-03-15,2025-04-14,Pending deportation,14547,Deported
204,132587,"UNHCR Transit Centre, Peshawar",1,2025-08-28,2025-08-29,Security screening,7922,Released
205,107883,"Balochistan Repatriation Centre, Quetta",1,2025-11-03,2025-11-17,Pending deportation,6449,Deported
206,102712,Chaman Border Detention Facility,1,2025-06-25,2025-06-28,Trafficking investigation,,Deported
207,110722,"FIA Detention Centre, Islamabad",1,2025-12-24,,Pending deportation,6954,Active
208,102678,"Immigration Holding Facility, Islamabad Airport",1,2025-12-21,,Pending deportation,10555,Active
209,110086,"UNHCR Transit Centre, Peshawar",1,2025-02-11,2025-02-18,Criminal investigation,,Deported
210,77940,"FIA Detention Centre, Lahore",1,2025-08-18,2025-08-21,Criminal investigation,,Deported
211,129219,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-05-24,2025-05-27,Security screening,1678,Released
212,132800,"Balochistan Repatriation Centre, Quetta",1,2025-11-09,2025-12-09,Pending deportation,9323,Released
213,9908,"FIA Detention Centre, Lahore",1,2025-01-01,2025-01-08,Pending deportation,9835,Released
214,35415,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-04-01,2025-04-02,Awaiting removal order,9226,Transferred
215,101187,"FIA Detention Centre, Lahore",1,2025-04-02,,Security screening,11183,Active
216,85431,"FIA Detention Centre, Lahore",1,2025-02-24,2025-05-25,Pending deportation,7216,Released
217,142859,Chaman Border Detention Facility,1,2025-08-15,2025-10-14,Security screening,,Released
218,84663,"Balochistan Repatriation Centre, Quetta",1,2025-03-06,2025-03-13,Security screening,13576,Deported
219,86786,"Foreigners Registration Centre, Peshawar",1,2025-06-05,2025-09-03,Border apprehension,,Deported
220,51437,"Balochistan Repatriation Centre, Quetta",1,2025-04-08,2025-06-07,Unauthorized entry,,Deported
221,91265,"Balochistan Repatriation Centre, Quetta",1,2025-06-02,2025-06-16,Trafficking investigation,,Deported
222,78978,Chaman Border Detention Facility,1,2025-06-23,2025-08-22,Security screening,13672,Deported
223,87434,"UNHCR Transit Centre, Peshawar",1,2025-04-03,2025-05-03,Pending deportation,10882,Released
224,56908,"Transit Holding Centre, Quetta",1,2025-02-20,2025-03-06,Border apprehension,,Transferred
225,112775,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-11-22,2025-11-29,Pending deportation,1169,Transferred
226,149896,"Transit Holding Centre, Quetta",1,2025-07-03,,Trafficking investigation,,Active
227,23114,"Balochistan Repatriation Centre, Quetta",1,2025-12-12,,Border apprehension,,Active
228,99070,Torkham Border Detention Facility,1,2025-09-05,2025-09-12,Security screening,10866,Released
229,25394,Chaman Border Detention Facility,1,2025-10-21,2025-10-28,Pending deportation,,Deported
230,131000,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-09-01,2025-10-01,Awaiting removal order,4177,Deported
231,63114,"Transit Holding Centre, Quetta",1,2025-06-03,,Awaiting removal order,5089,Active
232,3218,"Immigration Holding Facility, Jinnah Airport",1,2025-01-03,2025-04-03,Awaiting removal order,11529,Released
233,49023,"Immigration Holding Facility, Islamabad Airport",1,2025-10-26,2025-11-25,Document verification,,Deported
234,105743,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-10-26,2025-11-25,Awaiting removal order,4728,Released
235,30670,"Immigration Holding Facility, Islamabad Airport",1,2025-01-19,2025-04-19,Pending deportation,6302,Deported
236,36048,"UNHCR Transit Centre, Peshawar",1,2025-10-19,2025-11-18,Border apprehension,,Deported
237,87507,"Transit Holding Centre, Quetta",1,2025-10-18,2025-10-21,Pending deportation,2032,Released
238,45133,"Balochistan Repatriation Centre, Quetta",1,2025-10-17,2025-11-16,Document verification,,Transferred
239,88327,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-04-21,2025-06-20,Awaiting removal order,8730,Deported
240,80183,"Immigration Holding Facility, Islamabad Airport",1,2025-07-18,2025-07-21,Security screening,2800,Transferred
241,128644,"Foreigners Registration Centre, Peshawar",1,2025-08-17,2025-08-20,Awaiting removal order,9694,Deported
242,95313,"Balochistan Repatriation Centre, Quetta",1,2025-02-19,2025-03-21,Awaiting removal order,12703,Released
243,149452,Chaman Border Detention Facility,1,2025-04-27,2025-05-27,Unauthorized entry,,Transferred
244,56079,"Foreigners Registration Centre, Peshawar",1,2025-02-13,2025-02-20,Pending deportation,6553,Released
245,114301,"UNHCR Transit Centre, Peshawar",1,2025-01-06,2025-02-05,Pending deportation,10587,Released
246,41602,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-01-05,2025-02-04,Pending deportation,12155,Deported
247,84302,Chaman Border Detention Facility,1,2025-09-07,2025-10-07,Pending deportation,8968,Released
248,55808,"Foreigners Registration Centre, Peshawar",1,2025-12-17,2025-12-24,Identity verification,,Deported
249,147510,"Immigration Holding Facility, Jinnah Airport",1,2025-11-23,2025-11-30,Awaiting removal order,14821,Deported
250,110367,"Foreigners Registration Centre, Peshawar",1,2025-10-19,2025-10-26,Awaiting removal order,4506,Deported
251,68606,"Immigration Holding Facility, Jinnah Airport",1,2025-04-02,2025-05-02,Pending deportation,11107,Transferred
252,115044,"Immigration Holding Facility, Jinnah Airport",1,2025-09-25,2025-09-26,Security screening,12392,Deported
253,12354,Torkham Border Detention Facility,1,2025-10-26,2025-10-29,Awaiting removal order,5505,Released
254,22366,"Immigration Holding Facility, Islamabad Airport",1,2025-06-20,,Security screening,,Active
255,77994,"Foreigners Registration Centre, Peshawar",1,2025-11-12,2025-12-12,Awaiting removal order,4248,Transferred
256,63128,"Balochistan Repatriation Centre, Quetta",1,2025-11-20,2025-11-21,Pending deportation,11536,Released
257,48666,Chaman Border Detention Facility,1,2025-02-09,2025-03-11,Asylum processing,,Released
258,38247,"FIA Detention Centre, Karachi",1,2025-01-10,2025-01-13,Awaiting removal order,6401,Transferred
259,68388,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-02-06,2025-02-13,Awaiting removal order,1581,Deported
260,101195,"FIA Detention Centre, Lahore",1,2025-06-11,2025-06-18,Security screening,10598,Released
261,34896,"UNHCR Transit Centre, Peshawar",1,2025-04-17,2025-05-01,Trafficking investigation,,Transferred
262,29987,Torkham Border Detention Facility,1,2025-06-15,,Security screening,4324,Active
263,123843,"Immigration Holding Facility, Jinnah Airport",1,2025-08-12,2025-08-19,Asylum processing,,Released
264,10039,"Transit Holding Centre, Quetta",1,2025-12-27,,Pending deportation,137,Active
265,54538,"UNHCR Transit Centre, Peshawar",1,2025-02-25,2025-03-11,Security screening,2823,Transferred
266,20377,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-09-27,2025-09-28,Security screening,1408,Released
267,86680,"FIA Detention Centre, Islamabad",1,2025-06-22,2025-07-22,Awaiting removal order,6884,Deported
268,49037,Chaman Border Detention Facility,1,2025-02-17,2025-02-24,Awaiting removal order,3709,Released
269,114695,"Balochistan Repatriation Centre, Quetta",1,2025-10-15,2025-10-22,Pending deportation,7600,Released
270,146751,"UNHCR Transit Centre, Peshawar",1,2025-10-19,2025-10-22,Document verification,,Transferred
271,133423,"FIA Detention Centre, Lahore",1,2025-08-02,2025-08-09,Awaiting removal order,,Released
