offload_id,traveler_id,offload_date,port_id,reason,airline,flight_number,destination_country_id,linked_alert_id,linked_ecl_id
60,30727,2025-05-05,8,ECL Match,flyJinnah,9P-652,9,,2990
61,17168,2025-12-19,3,Airline Refusal,PIA,PK-721,31,,
62,67434,2025-02-19,3,Incomplete Travel Docs,Air Arabia,G9-436,33,,
63,39562,2025-01-03,2,Airline Refusal,Gulf Air,GF-642,8,,
64,29665,2025-12-03,2,Watchlist Hit,Saudi Airlines,SV-270,10,6642,
65,140720,2025-01-26,1,ECL Match,British Airways,BA-230,9,,2077
66,144344,2025-09-04,3,Incomplete Travel Docs,Saudi Airlines,SV-911,8,,
67,43577,2025-12-27,3,Invalid Documents,Saudi Airlines,SV-495,34,,
68,128592,2025-07-03,2,Airline Refusal,Kuwait Airways,KU-317,10,,
69,3444,2025-08-14,1,Watchlist Hit,Turkish Airlines,TK-414,10,2952,
70,44287,2025-07-08,1,Interpol Alert,Gulf Air,GF-462,9,1739,
71,66781,2025-02-15,1,ECL Match,Air Arabia,G9-442,31,,615
72,57486,2025-11-20,2,ECL Match,Etihad Airways,EY-168,9,,603
73,149043,2025-01-24,4,Watchlist Hit,Serene Air,ER-498,13,1354,
74,56938,2025-05-07,5,Interpol Alert,British Airways,BA-426,12,2242,
75,5960,2025-08-27,3,Watchlist Hit,Etihad Airways,EY-447,9,5698,
76,128509,2025-02-22,3,Watchlist Hit,PIA,PK-509,11,7805,
77,113166,2025-02-09,6,Incomplete Travel Docs,Kuwait Airways,KU-148,34,,
78,133905,2025-06-27,4,Incomplete Travel Docs,Gulf Air,GF-650,32,,
79,70333,2025-04-01,6,Watchlist Hit,AirBlue,PA-463,8,7012,
80,73620,2025-09-11,3,ECL Match,Oman Air,WY-352,35,,1285
81,138064,2025-07-10,1,ECL Match,Kuwait Airways,KU-116,10,,2746
82,68607,2025-11-11,6,Airline Refusal,Air Arabia,G9-730,10,,
83,25588,2025-08-15,1,Invalid Documents,Gulf Air,GF-837,31,,
84,140618,2025-08-22,1,Watchlist Hit,British Airways,BA-483,9,7248,
85,17597,2025-08-07,3,ECL Match,British Airways,BA-728,31,,174
86,8890,2025-01-26,1,Incomplete Travel Docs,Qatar Airways,QR-524,9,,
87,94260,2025-04-26,6,ECL Match,Qatar Airways,QR-614,10,,2463
88,121076,2025-11-05,1,Other,Oman Air,WY-493,9,,
89,40102,2025-03-13,5,Interpol Alert,flyJinnah,9P-635,10,4059,
90,76462,2025-12-25,1,Suspicious Behavior,Air Arabia,G9-648,12,,
91,27536,2025-09-08,6,Watchlist Hit,Saudi Airlines,SV-182,9,5460,
92,51070,2025-11-22,8,Watchlist Hit,Emirates,EK-535,10,5439,
93,105999,2025-12-28,6,ECL Match,Qatar Airways,QR-980,9,,1845
94,123993,2025-12-16,2,Watchlist Hit,British Airways,BA-454,34,7527,
95,119577,2025-06-21,2,Watchlist Hit,PIA,PK-760,10,2080,
96,75090,2025-11-11,8,Watchlist Hit,Qatar Airways,QR-961,9,6521,
97,10869,2025-05-28,5,Invalid Documents,Kuwait Airways,KU-439,31,,
98,89229,2025-12-16,2,ECL Match,Serene Air,ER-476,8,,1340
99,84821,2025-05-19,2,ECL Match,flyJinnah,9P-531,10,,2021
100,34515,2025-03-26,1,Watchlist Hit,Air Arabia,G9-670,9,6323,
101,137898,2025-03-24,2,Invalid Documents,flydubai,FZ-503,10,,
102,64614,2025-06-15,8,Interpol Alert,Turkish Airlines,TK-266,10,1544,
103,126099,2025-11-20,3,ECL Match,Gulf Air,GF-732,32,,1457
104,125254,2025-02-26,5,ECL Match,Serene Air,ER-299,10,,2474
105,133461,2025-03-23,1,ECL Match,PIA,PK-585,32,,1551
106,115673,2025-10-23,1,ECL Match,Gulf Air,GF-127,8,,1980
107,11649,2025-04-19,3,Watchlist Hit,Turkish Airlines,TK-424,10,6230,
108,99767,2025-09-12,1,ECL Match,Qatar Airways,QR-348,10,,484
109,109518,2025-03-01,1,Airline Refusal,AirBlue,PA-243,10,,
110,13599,2025-12-07,6,ECL Match,Saudi Airlines,SV-727,9,,2703
111,2779,2025-05-16,1,Invalid Documents,Air Arabia,G9-337,34,,
112,113201,2025-03-26,2,Watchlist Hit,Kuwait Airways,KU-206,32,6763,
113,65107,2025-12-12,2,Interpol Alert,Gulf Air,GF-831,10,,
114,34295,2025-11-03,2,ECL Match,Serene Air,ER-934,9,,2575
115,138851,2025-09-26,3,Incomplete Travel Docs,Serene Air,ER-275,10,,
116,102584,2025-08-02,5,Invalid Documents,Turkish Airlines,TK-206,35,,
117,137143,2025-11-28,1,ECL Match,Qatar Airways,QR-689,10,,1789
118,26378,2025-05-08,4,Invalid Documents,AirBlue,PA-570,13,,
119,75942,2025-11-21,1,ECL Match,flydubai,FZ-683,33,,103
120,46802,2025-08-02,1,Invalid Documents,Oman Air,WY-704,10,,
121,99955,2025-11-11,2,Airline Refusal,Emirates,EK-208,12,,
122,119163,2025-10-10,3,Incomplete Travel Docs,Qatar Airways,QR-635,34,,
123,2511,2025-12-18,4,Watchlist Hit,Gulf Air,GF-631,5,757,
124,38204,2025-08-15,1,ECL Match,flydubai,FZ-666,33,,2530
125,12737,2025-06-28,1,ECL Match,Etihad Airways,EY-225,8,,1823
126,82950,2025-06-21,8,ECL Match,Emirates,EK-145,9,,1283
127,33111,2025-05-07,3,Watchlist Hit,Gulf Air,GF-395,32,4689,
128,2013,2025-07-20,1,Interpol Alert,Serene Air,ER-271,7,6890,
129,61542,2025-09-16,2,Incomplete Travel Docs,Air Arabia,G9-719,32,,
130,26495,2025-06-18,2,Watchlist Hit,British Airways,BA-366,34,1054,
131,2065,2025-04-13,1,Interpol Alert,Gulf Air,GF-918,31,,
132,114301,2025-01-22,4,Watchlist Hit,Qatar Airways,QR-425,10,4281,
133,107792,2025-08-21,1,Watchlist Hit,Gulf Air,GF-186,13,1616,
134,28961,2025-05-15,3,Invalid Documents,flydubai,FZ-904,5,,
135,111077,2025-11-14,1,ECL Match,flyJinnah,9P-637,35,,903
136,9457,2025-07-03,2,Incomplete Travel Docs,Oman Air,WY-205,7,,
137,34597,2025-06-03,3,Watchlist Hit,Air Arabia,G9-600,9,3555,
138,101521,2025-01-01,3,Watchlist Hit,PIA,PK-195,31,6984,
139,57822,2025-12-19,3,Incomplete Travel Docs,Serene Air,ER-462,10,,
140,102645,2025-10-21,2,Court Order,Turkish Airlines,TK-797,13,3702,
141,104784,2025-10-28,3,Incomplete Travel Docs,Gulf Air,GF-923,32,,
142,24429,2025-12-25,4,Court Order,AirBlue,PA-830,35,7163,
143,125479,2025-08-26,3,Watchlist Hit,Serene Air,ER-903,15,7188,
144,149428,2025-07-13,2,ECL Match,Etihad Airways,EY-280,10,,1188
145,106270,2025-01-21,8,Other,flyJinnah,9P-449,11,,
146,90466,2025-02-17,1,Watchlist Hit,AirBlue,PA-458,9,1952,
147,36393,2025-10-25,1,Suspicious Behavior,Air Arabia,G9-354,34,,
148,67457,2025-06-17,1,Court Order,flyJinnah,9P-342,10,4339,
149,95125,2025-12-13,4,ECL Match,Oman Air,WY-439,31,,2455
150,49143,2025-09-10,5,ECL Match,flyJinnah,9P-455,33,,1473
151,96388,2025-11-26,1,ECL Match,flyJinnah,9P-280,10,,906
152,21283,2025-02-26,3,Airline Refusal,Qatar Airways,QR-519,33,,
153,2003,2025-03-24,2,Invalid Documents,Oman Air,WY-353,15,,
154,42444,2025-03-19,8,Court Order,Oman Air,WY-409,33,3680,
155,8507,2025-10-18,1,Incomplete Travel Docs,flyJinnah,9P-575,8,,
156,98501,2025-04-15,1,Airline Refusal,Etihad Airways,EY-685,31,,
157,1121,2025-05-21,3,ECL Match,British Airways,BA-646,7,,1864
158,147282,2025-05-19,6,Court Order,Oman Air,WY-287,7,4052,
159,103566,2025-01-02,1,ECL Match,AirBlue,PA-514,9,,1651
160,11593,2025-02-11,8,ECL Match,PIA,PK-242,8,,2440
161,87981,2025-04-10,5,Court Order,Qatar Airways,QR-804,31,5897,
162,1172,2025-07-19,2,ECL Match,flyJinnah,9P-480,34,,1183
163,74094,2025-02-16,2,ECL Match,Etihad Airways,EY-926,12,,1605
164,15799,2025-11-24,3,ECL Match,PIA,PK-880,15,,1302
165,91412,2025-06-20,2,Incomplete Travel Docs,Qatar Airways,QR-132,9,,
166,76104,2025-10-25,6,Watchlist Hit,Saudi Airlines,SV-247,9,4175,
167,79393,2025-04-07,3,Watchlist Hit,Etihad Airways,EY-544,11,3960,
168,148078,2025-10-12,1,ECL Match,Oman Air,WY-348,9,,285
169,67702,2025-09-15,1,Watchlist Hit,PIA,PK-312,8,6551,
170,49564,2025-08-07,1,Court Order,Kuwait Airways,KU-733,33,,
171,56167,2025-05-09,3,Watchlist Hit,Emirates,EK-612,10,1927,
172,8908,2025-03-21,4,Airline Refusal,PIA,PK-110,32,,
173,110865,2025-09-06,1,Interpol Alert,AirBlue,PA-529,32,988,
174,56415,2025-12-08,5,Incomplete Travel Docs,Etihad Airways,EY-929,10,,
175,69542,2025-03-18,8,Court Order,flyJinnah,9P-722,33,,
176,59611,2025-07-28,4,ECL Match,PIA,PK-719,11,,751
177,21382,2025-09-10,1,Watchlist Hit,Emirates,EK-118,9,3015,
178,23415,2025-11-26,3,Interpol Alert,Saudi Airlines,SV-279,9,,
179,86439,2025-03-01,4,Invalid Documents,Kuwait Airways,KU-535,8,,
180,97447,2025-01-08,8,ECL Match,British Airways,BA-863,15,,517
181,6793,2025-11-05,1,Airline Refusal,Etihad Airways,EY-211,31,,
182,70024,2025-01-02,5,Watchlist Hit,flydubai,FZ-464,10,5512,
183,58377,2025-06-22,2,Watchlist Hit,Turkish Airlines,TK-820,9,3725,
184,103373,2025-04-23,2,ECL Match,flyJinnah,9P-938,7,,2251
185,60370,2025-06-23,2,Incomplete Travel Docs,British Airways,BA-593,15,,
186,28498,2025-02-18,3,Invalid Documents,Gulf Air,GF-797,11,,
187,83004,2025-06-28,3,Interpol Alert,Gulf Air,GF-822,7,,
188,85166,2025-07-18,4,Watchlist Hit,Gulf Air,GF-233,31,6626,
189,6133,2025-11-04,6,ECL Match,flydubai,FZ-870,9,,1700
190,87378,2025-06-12,1,Watchlist Hit,Turkish Airlines,TK-248,31,834,
191,121354,2025-01-06,3,Watchlist Hit,flydubai,FZ-369,9,3871,
192,39910,2025-01-09,3,Interpol Alert,flydubai,FZ-575,10,,
193,134438,2025-04-25,1,Invalid Documents,Emirates,EK-477,15,,
194,138105,2025-06-02,8,ECL Match,flyJinnah,9P-492,10,,2833
195,94136,2025-04-25,1,Other,Oman Air,WY-228,11,,
196,58013,2025-01-21,1,Watchlist Hit,flyJinnah,9P-157,15,1545,
197,106380,2025-01-06,2,Invalid Documents,Qatar Airways,QR-437,10,,
198,21439,2025-11-02,4,ECL Match,British Airways,BA-639,8,,2509
199,106893,2025-03-18,5,Suspicious Behavior,AirBlue,PA-177,8,,
200,15113,2025-12-05,8,Watchlist Hit,Air Arabia,G9-487,9,3674,
201,67532,2025-12-20,3,Interpol Alert,flyJinnah,9P-928,32,,
202,80436,2025-01-01,3,ECL Match,Saudi Airlines,SV-829,33,,2234
203,27048,2025-09-28,4,ECL Match,Etihad Airways,EY-798,33,,2696
204,80730,2025-03-10,3,Watchlist Hit,PIA,PK-636,31,1975,
205,123775,2025-05-17,3,Watchlist Hit,flyJinnah,9P-161,33,1078,
206,98475,2025-05-13,2,Interpol Alert,Qatar Airways,QR-165,9,1221,
207,149624,2025-12-07,6,ECL Match,PIA,PK-305,31,,2487
208,58564,2025-09-09,3,ECL Match,flyJinnah,9P-961,9,,2808
209,53533,2025-09-26,2,Interpol Alert,Emirates,EK-382,11,,
210,96323,2025-12-06,1,Court Order,Turkish Airlines,TK-263,9,5584,
211,84394,2025-03-25,4,Watchlist Hit,AirBlue,PA-531,32,7783,
212,132017,2025-02-21,6,Court Order,flydubai,FZ-389,10,,
213,25919,2025-03-22,1,ECL Match,Qatar Airways,QR-972,31,,1907
214,13732,2025-09-27,3,Interpol Alert,flyJinnah,9P-898,32,,
215,27710,2025-06-08,1,Watchlist Hit,Gulf Air,GF-279,31,5109,
216,93207,2025-07-22,1,ECL Match,AirBlue,PA-260,10,,2071
217,57155,2025-05-17,8,Other,Saudi Airlines,SV-596,8,,
218,118870,2025-10-28,3,Watchlist Hit,Turkish Airlines,TK-187,7,2815,
219,38008,2025-08-22,2,Incomplete Travel Docs,flydubai,FZ-162,31,,
220,123228,2025-09-26,2,Court Order,Oman Air,WY-606,13,,
221,504,2025-03-14,3,Invalid Documents,Turkish Airlines,TK-918,8,,
222,28903,2025-07-20,1,ECL Match,AirBlue,PA-719,7,,2924
223,107575,2025-05-06,3,Incomplete Travel Docs,flydubai,FZ-410,10,,
224,77059,2025-08-15,6,Incomplete Travel Docs,flydubai,FZ-997,8,,
225,23480,2025-06-23,2,ECL Match,flydubai,FZ-907,10,,1566
226,142239,2025-12-05,3,Invalid Documents,Air Arabia,G9-586,7,,
227,98287,2025-03-04,1,ECL Match,Gulf Air,GF-884,32,,2725
228,131339,2025-09-28,3,Watchlist Hit,Air Arabia,G9-238,35,1592,
229,99053,2025-05-23,1,ECL Match,AirBlue,PA-217,10,,761
230,33580,2025-03-23,2,Watchlist Hit,Qatar Airways,QR-166,10,3628,
231,70506,2025-02-25,3,Watchlist Hit,British Airways,BA-967,9,1190,
232,22799,2025-02-24,1,Watchlist Hit,Gulf Air,GF-584,9,1499,
233,133743,2025-11-25,4,Watchlist Hit,Emirates,EK-712,8,6080,
234,9094,2025-06-20,1,ECL Match,flyJinnah,9P-549,9,,2940
235,72773,2025-06-05,3,Invalid Documents,flyJinnah,9P-393,8,,
236,91955,2025-09-27,1,Invalid Documents,Turkish Airlines,TK-267,31,,
237,136767,2025-02-28,1,Watchlist Hit,Turkish Airlines,TK-111,31,5701,
238,115009,2025-06-24,1,Watchlist Hit,Serene Air,ER-546,32,806,
239,143993,2025-08-05,3,ECL Match,Kuwait Airways,KU-292,10,,100
240,111047,2025-04-11,3,ECL Match,flydubai,FZ-182,8,,694
241,109151,2025-08-14,3,Airline Refusal,AirBlue,PA-934,9,,
242,79921,2025-12-19,2,ECL Match,PIA,PK-903,7,,2089
243,59738,2025-11-23,1,Court Order,Saudi Airlines,SV-398,8,,
244,19890,2025-07-14,4,Watchlist Hit,Kuwait Airways,KU-545,35,3873,
245,141060,2025-07-24,1,Watchlist Hit,flydubai,FZ-427,35,4976,
246,29137,2025-10-15,3,ECL Match,Oman Air,WY-193,35,,784
247,40848,2025-10-13,2,ECL Match,Kuwait Airways,KU-419,32,,505
248,133906,2025-01-08,1,ECL Match,Gulf Air,GF-645,10,,606
249,149609,2025-04-01,1,ECL Match,Air Arabia,G9-294,12,,2853
250,135441,2025-05-18,2,Watchlist Hit,flyJinnah,9P-809,15,2672,
251,13390,2025-02-12,2,ECL Match,AirBlue,PA-173,13,,1369
252,134806,2025-09-21,6,ECL Match,Emirates,EK-743,15,,104
253,96737,2025-08-21,1,Watchlist Hit,Emirates,EK-808,31,4129,
254,102786,2025-01-02,8,Invalid Documents,Emirates,EK-778,10,,
255,63260,2025-09-09,1,Court Order,Air Arabia,G9-787,9,,
256,58754,2025-01-01,4,Interpol Alert,Gulf Air,GF-141,9,7032,
257,115644,2025-03-17,2,Watchlist Hit,PIA,PK-842,33,5811,
258,62671,2025-07-02,5,Watchlist Hit,flyJinnah,9P-190,7,633,
259,22696,2025-03-26,2,ECL Match,Oman Air,WY-302,10,,528
260,99804,2025-10-27,1,ECL Match,PIA,PK-929,12,,148
261,82188,2025-07-15,1,Invalid Documents,Saudi Airlines,SV-189,9,,
262,69396,2025-12-05,1,Watchlist Hit,AirBlue,PA-202,10,949,
263,132861,2025-04-10,1,Invalid Documents,flydubai,FZ-222,10,,
264,5915,2025-07-01,1,ECL Match,Emirates,EK-846,35,,2205
265,131112,2025-11-17,3,ECL Match,Etihad Airways,EY-765,9,,201
266,129014,2025-08-26,4,ECL Match,Qatar Airways,QR-565,15,,416
267,6684,2025-08-27,3,ECL Match,PIA,PK-203,12,,1109
268,105031,2025-07-01,5,Watchlist Hit,Air Arabia,G9-741,31,4731,
269,42438,2025-09-14,3,ECL Match,Turkish Airlines,TK-486,33,,1497
270,45666,2025-10-20,2,Watchlist Hit,Serene Air,ER-238,32,2166,
271,42780,2025-09-03,4,Watchlist Hit,PIA,PK-351,9,4899,
272,64040,2025-04-20,1,Suspicious Behavior,Etihad Airways,EY-276,8,,
273,43707,2025-01-11,5,Watchlist Hit,PIA,PK-839,15,2247,
274,145925,2025-03-04,3,Suspicious Behavior,Gulf Air,GF-759,9,,
275,8072,2025-07-20,1,Court Order,Emirates,EK-641,10,7089,
276,78960,2025-05-11,6,Watchlist Hit,Qatar Airways,QR-132,9,7886,
277,64545,2025-01-17,3,Interpol Alert,Etihad Airways,EY-604,10,2767,
278,47468,2025-03-26,2,Incomplete Travel Docs,Oman Air,WY-525,33,,
279,4420,2025-02-24,3,Incomplete Travel Docs,Etihad Airways,EY-667,7,,
280,82867,2025-10-25,1,ECL Match,Turkish Airlines,TK-582,9,,316
281,2104,2025-09-26,1,ECL Match,Etihad Airways,EY-263,8,,458
282,81602,2025-12-20,1,Watchlist Hit,flyJinnah,9P-891,11,7913,
283,82453,2025-01-16,3,Court Order,Turkish Airlines,TK-318,9,960,
284,120043,2025-04-06,2,Interpol Alert,PIA,PK-688,15,,
285,114920,2025-12-12,1,ECL Match,Gulf Air,GF-913,31,,842
286,60295,2025-02-18,6,Watchlist Hit,Saudi Airlines,SV-661,7,6762,
287,105919,2025-10-16,8,ECL Match,Oman Air,WY-183,31,,658
288,96180,2025-02-25,2,ECL Match,British Airways,BA-710,10,,2852
289,17178,2025-12-02,4,Watchlist Hit,Emirates,EK-730,5,2805,
290,52867,2025-06-16,1,Watchlist Hit,Oman Air,WY-462,33,3561,
291,112856,2025-03-12,6,Invalid Documents,British Airways,BA-545,5,,
292,128578,2025-06-24,1,Airline Refusal,Emirates,EK-586,9,,
293,64642,2025-10-16,1,ECL Match,PIA,PK-323,10,,502
294,6172,2025-12-10,5,ECL Match,Kuwait Airways,KU-809,9,,2045
295,115550,2025-10-04,2,Watchlist Hit,Emirates,EK-151,8,1532,
296,2486,2025-02-25,1,Incomplete Travel Docs,British Airways,BA-369,10,,
297,4547,2025-06-23,3,Invalid Documents,Saudi Airlines,SV-352,9,,
298,136487,2025-05-18,6,ECL Match,Serene Air,ER-613,10,,377
299,32703,2025-11-08,8,Invalid Documents,Emirates,EK-504,8,,
300,70382,2025-11-13,2,Watchlist Hit,flyJinnah,9P-959,8,7072,
301,75756,2025-05-21,2,Invalid Documents,Turkish Airlines,TK-511,7,,
302,147782,2025-08-16,5,ECL Match,PIA,PK-906,7,,96
303,96813,2025-06-21,2,Watchlist Hit,Gulf Air,GF-238,10,6329,
304,45708,2025-09-25,3,ECL Match,Qatar Airways,QR-707,8,,1801
305,29008,2025-07-28,1,Incomplete Travel Docs,flyJinnah,9P-491,31,,
306,25905,2025-08-08,2,Interpol Alert,AirBlue,PA-252,11,,
307,99314,2025-02-18,1,ECL Match,Serene Air,ER-945,9,,2668
308,114521,2025-02-10,2,Watchlist Hit,flydubai,FZ-684,32,593,
309,80427,2025-08-24,1,ECL Match,Qatar Airways,QR-406,15,,58
310,29624,2025-02-11,1,ECL Match,Qatar Airways,QR-313,10,,2152
311,35733,2025-02-15,6,Invalid Documents,PIA,PK-760,15,,
312,37614,2025-02-15,2,Court Order,Gulf Air,GF-322,32,,
313,37894,2025-08-22,4,Watchlist Hit,Serene Air,ER-511,7,1309,
314,66205,2025-04-11,1,Incomplete Travel Docs,flydubai,FZ-394,10,,
315,98912,2025-11-03,3,ECL Match,Saudi Airlines,SV-854,35,,2352
316,132576,2025-03-25,1,Watchlist Hit,Qatar Airways,QR-582,32,647,
317,56336,2025-01-20,8,ECL Match,Emirates,EK-757,15,,1161
318,87538,2025-08-09,1,Watchlist Hit,flyJinnah,9P-772,10,2425,
319,115540,2025-07-06,3,ECL Match,British Airways,BA-916,10,,1144
320,80850,2025-01-21,1,Suspicious Behavior,British Airways,BA-740,9,,
321,75877,2025-11-20,1,ECL Match,Kuwait Airways,KU-605,31,,2900
322,66915,2025-11-28,2,Watchlist Hit,Etihad Airways,EY-190,31,3277,
323,118645,2025-01-20,4,Interpol Alert,Oman Air,WY-665,10,111,
324,33429,2025-10-07,2,ECL Match,Serene Air,ER-716,15,,609
325,40848,2025-09-03,8,ECL Match,Turkish Airlines,TK-125,9,,505
326,66792,2025-12-09,3,ECL Match,British Airways,BA-849,15,,968
327,17949,2025-09-05,6,ECL Match,Air Arabia,G9-810,32,,2934
328,113749,2025-05-02,6,Watchlist Hit,Saudi Airlines,SV-193,9,6655,
329,121077,2025-09-24,3,ECL Match,Etihad Airways,EY-746,9,,1815
330,146159,2025-02-20,2,ECL Match,flyJinnah,9P-104,33,,2405
331,94221,2025-02-11,2,Watchlist Hit,British Airways,BA-560,9,3982,
332,109131,2025-08-02,3,Invalid Documents,British Airways,BA-164,31,,
333,99351,2025-05-04,1,ECL Match,flyJinnah,9P-634,9,,410
334,44660,2025-10-25,1,Suspicious Behavior,flydubai,FZ-850,10,,
335,55906,2025-07-23,1,Watchlist Hit,Qatar Airways,QR-578,10,957,
336,67280,2025-11-03,2,Invalid Documents,British Airways,BA-203,9,,
337,68759,2025-01-24,3,Other,Turkish Airlines,TK-901,31,,
338,120209,2025-10-17,3,Watchlist Hit,flyJinnah,9P-685,12,6156,
339,79121,2025-04-13,2,ECL Match,flyJinnah,9P-587,10,,2506
340,116481,2025-05-18,1,Court Order,Oman Air,WY-375,10,375,
341,10833,2025-04-13,6,Watchlist Hit,Gulf Air,GF-396,12,7450,
342,86912,2025-07-02,1,ECL Match,Qatar Airways,QR-861,8,,1516
343,49926,2025-07-10,3,ECL Match,Qatar Airways,QR-868,8,,1806
344,28450,2025-12-26,2,Incomplete Travel Docs,flydubai,FZ-845,12,,
345,87581,2025-04-04,1,Invalid Documents,Turkish Airlines,TK-116,10,,
346,135314,2025-01-14,6,Incomplete Travel Docs,PIA,PK-800,7,,
347,109599,2025-09-16,1,Invalid Documents,flydubai,FZ-695,12,,
348,61932,2025-07-04,3,Watchlist Hit,flyJinnah,9P-560,8,3761,
349,40211,2025-08-10,1,Incomplete Travel Docs,Saudi Airlines,SV-690,31,,
350,127116,2025-11-11,2,ECL Match,Emirates,EK-523,31,,1785
351,73417,2025-08-18,3,Invalid Documents,Air Arabia,G9-117,34,,
352,127270,2025-12-16,6,Incomplete Travel Docs,flydubai,FZ-401,15,,
353,59306,2025-06-02,3,Watchlist Hit,Etihad Airways,EY-728,32,7022,
354,15246,2025-09-04,1,ECL Match,Qatar Airways,QR-201,9,,2835
355,32793,2025-03-04,3,Invalid Documents,AirBlue,PA-274,10,,
356,149922,2025-03-24,6,Watchlist Hit,Emirates,EK-645,33,6388,
357,87957,2025-05-04,1,ECL Match,PIA,PK-277,9,,1867
358,119890,2025-08-24,1,ECL Match,Emirates,EK-370,8,,1158
359,128970,2025-01-11,6,Incomplete Travel Docs,Turkish Airlines,TK-917,34,,
